Access see Market access, EconomicOperand
Accountability, EconomicOperand
basic characteristic of US regulatory system, EconomicOperand
importance to institutional design, EconomicOperand
principles issued by ISSBs, EconomicOperand
UK approach to ‘twin peaks’ supervision, EconomicOperand
Agency costs, EconomicOperand
mandatory disclosure, EconomicOperand
measurement and specification, EconomicOperand
why systems are crisis-prone, EconomicOperand
Agents, EconomicOperand
evolutionary models of market efficiency, EconomicOperand
rationale for mandatory disclosure, EconomicOperand
retail marketing, EconomicOperand
Algorithmic trading, EconomicOperand
innovative process, EconomicOperand
regulation after, EconomicOperand
trading practices, EconomicOperand
Auditors, EconomicOperand
failures, EconomicOperand
as gatekeepers, EconomicOperand
Australia, EconomicOperand
conduct of business regulation, EconomicOperand
client categorization, EconomicOperand
duty of care, EconomicOperand
duty of loyalty, EconomicOperand
enforcement and effectiveness, EconomicOperand
overview, EconomicOperand
remuneration-based risks, EconomicOperand
consumer protection, EconomicOperand
mortgage-lending practices, EconomicOperand
product intervention, EconomicOperand
regulatory perceptions and policies, EconomicOperand
market abuse, EconomicOperand
regulation of retail markets, EconomicOperand
investor empowerment, EconomicOperand
investor protection, EconomicOperand
product intervention, EconomicOperand
risk-based approaches, EconomicOperand
supervisory model, EconomicOperand
typical aspirations for institutional design, EconomicOperand
Bail-ins, EconomicOperand
bank restructuring, EconomicOperand
private sector rescues, EconomicOperand
reshaping of incentive structures, EconomicOperand
second-generation resolution mechanisms, EconomicOperand
simplification, EconomicOperand
Bailouts, EconomicOperand
distinguishing feature of bank failures, EconomicOperand
divergence of interest between creditors and shareholders, EconomicOperand
eruption of financial-market turmoil, EconomicOperand
impact of GFC, EconomicOperand
moral hazard,,, EconomicOperand
multibillion-dollar IMF bailouts, EconomicOperand
state intervention, EconomicOperand
‘too-big-to’ problems (TBT), EconomicOperand
Balance-sheet management, EconomicOperand
Bankruptcy see Insolvency, EconomicOperand
Banks and banking see also Institutional regulation, EconomicOperand
basis of financial system, EconomicOperand
central banks, EconomicOperand
control of systemic risk within EU, EconomicOperand
Ireland, EconomicOperand
as lenders of last resort, EconomicOperand
macro-prudential supervision, EconomicOperand
multinational coordination of supervision, EconomicOperand
supervisory role,, EconomicOperand
distinguishing features, EconomicOperand
bailouts and bankruptcy, EconomicOperand
impact of failure on externalities, EconomicOperand
effect of GFC, EconomicOperand
European Union (EU), EconomicOperand
conceptual framework, EconomicOperand
control of systemic risk, EconomicOperand
creation of internal market and harmonization, EconomicOperand
first generation distress resolution mechanisms, EconomicOperand
extension of OLA regime, EconomicOperand
FDIC receivership, EconomicOperand
financial collateral and termination provisions, EconomicOperand
limitations, EconomicOperand
UK Special Resolution Regime, EconomicOperand
waiver of property rights, EconomicOperand
funding of distress resolution, EconomicOperand
as gatekeepers, EconomicOperand
government-banking sector partnership, EconomicOperand
creation of moral hazard, EconomicOperand
encouragement of desirable activities, EconomicOperand
impact on private banking, EconomicOperand
intended scope, EconomicOperand
history and development of market access and licensing, EconomicOperand
impact of financial crises, EconomicOperand
bank capital requirements, EconomicOperand
regulators acting as lender of last resort, EconomicOperand
key role, EconomicOperand
macro-prudential regulation, EconomicOperand
governance theory, EconomicOperand
impact of GFC, EconomicOperand
three-stage process, EconomicOperand
micro-prudential regulation, EconomicOperand
altering incentives, EconomicOperand
corporate governance, EconomicOperand
impact of GFC, EconomicOperand
investment restrictions, EconomicOperand
risk management, EconomicOperand
tools other than capital, EconomicOperand
mobile money, EconomicOperand
overview of distress measures, EconomicOperand
precondition for development of financial systems, EconomicOperand
role of capital in support of stability, EconomicOperand
balance-sheet management, EconomicOperand
Basel III, EconomicOperand
change from micro-to macro-prudential approach, EconomicOperand
economic capital management, EconomicOperand
importance, EconomicOperand
international regulation, EconomicOperand
macro-prudential reform of Basel III, EconomicOperand
need for more holistic approach, EconomicOperand
overview, EconomicOperand
regulatory capital management, EconomicOperand
relationship with risk, EconomicOperand
second-generation distress resolution mechanisms, EconomicOperand
bail-ins, EconomicOperand
ex ante planning, EconomicOperand
multinational coordination of supervision, EconomicOperand
shadow banking, EconomicOperand
contagion, EconomicOperand
defined, EconomicOperand
disaggregation of banks, EconomicOperand
effectiveness , EconomicOperand
failure of Basel II or III to address, EconomicOperand
indicative list of activities, EconomicOperand
link betweenCrash and the s debt crisis, EconomicOperand
liquidity runs, EconomicOperand
main function, EconomicOperand
meaning and scope, EconomicOperand
objective, EconomicOperand
overview, EconomicOperand
pure risk, EconomicOperand
regulation after, EconomicOperand
significant systemic threat, EconomicOperand
uncontrolled credit expansion, EconomicOperand
universal call for regulation, EconomicOperand
triggering distress resolution process, EconomicOperand
UK regulatory approach, EconomicOperand
risk-based regulation, EconomicOperand
Basel I, EconomicOperand
capital requirements, EconomicOperand
development of cross-border supervision, EconomicOperand
exception to general trend, EconomicOperand
‘one size fits all’ approach, EconomicOperand
potential sanctions against Japan, EconomicOperand
Basel II, EconomicOperand
risk management, EconomicOperand
stress-testing, EconomicOperand
transition to Basel III, EconomicOperand
underestimation of systemic risk, EconomicOperand
underlying prudential regulation, EconomicOperand
Basel III, EconomicOperand
disclosure, EconomicOperand
new focus on G-SIFIs, EconomicOperand
overview,, EconomicOperand
reform along macro-prudential lines, EconomicOperand
three-pillar framework, EconomicOperand
market discipline (Pillar, EconomicOperand
minimum capital (Pillar, EconomicOperand
overview, EconomicOperand
supervisory review and governance (Pillar, EconomicOperand
transition from Basel II, EconomicOperand
Behavioural analysis, EconomicOperand
consumer biases, EconomicOperand
framing effects, EconomicOperand
overconfidence, EconomicOperand
risk tolerance, EconomicOperand
social influences, EconomicOperand
emerging themes, EconomicOperand
mandatory disclosure, EconomicOperand
‘nudge’ theory, EconomicOperand
retail marketing, EconomicOperand
socialized insurance market operations, EconomicOperand
systematic errors in decision-making, EconomicOperand
why systems are crisis-prone, EconomicOperand
cognitive error, EconomicOperand
moral hazard, EconomicOperand
‘Big Bang’, EconomicOperand
financial-services liberalization and integration in Europe, EconomicOperand
impact on financial services industry, EconomicOperand
subsequent failure of Single European Passport, EconomicOperand
Broker-dealers, EconomicOperand
conflicts of interest, EconomicOperand
defined, EconomicOperand
disclosure practices, EconomicOperand
duty of care, EconomicOperand
examinations, EconomicOperand
financial crisis, EconomicOperand
mandatory arbitration clauses, use of, EconomicOperand
obligations, EconomicOperand
regulatory oversight, EconomicOperand
remuneration-based risks, EconomicOperand
suitability duties on, EconomicOperand
US COB obligations of, EconomicOperand
US regulatory regime on, EconomicOperand
‘Bubbles’, EconomicOperand
causes of systemic risk, EconomicOperand
effect of fraud, EconomicOperand
effect on interest rates, EconomicOperand
effect on reputation of gatekeepers, EconomicOperand
effects of financial crises, EconomicOperand
financial markets in non-equilibrium state, EconomicOperand
information asymmetry, EconomicOperand
investor euphoria, EconomicOperand
risks of structured credit, EconomicOperand
UK house prices, EconomicOperand
US housing in, EconomicOperand
Canada, EconomicOperand
history and development of market access and licensing, EconomicOperand
market abuse, EconomicOperand
risk-based approaches, EconomicOperand
supervisory model, EconomicOperand
Capital, EconomicOperand
bank capital requirements, EconomicOperand
Basel III’s three-pillar framework, EconomicOperand
impact of financial crises, EconomicOperand
basis of financial system, EconomicOperand
EU accommodation of cross-border flows, EconomicOperand
adoption of collective-investment scheme, EconomicOperand
creation of internal market and harmonization, EconomicOperand
impact of MiFID, EconomicOperand
mutual recognition, EconomicOperand
national product-orientated rules, EconomicOperand
trading practices, EconomicOperand
impact of financial crises, EconomicOperand
bank capital requirements, EconomicOperand
capital controls, EconomicOperand
risk-based regulation, EconomicOperand
economic capital management, EconomicOperand
increase in capital requirements,,,,, EconomicOperand
overall utility of the risk-based capital regime, EconomicOperand
role in support of bank stability, EconomicOperand
balance-sheet management, EconomicOperand
Basel III, EconomicOperand
change from micro-to macro-prudential approach, EconomicOperand
economic capital management, EconomicOperand
importance, EconomicOperand
international regulation, EconomicOperand
macro-prudential reform of Basel III, EconomicOperand
need for more holistic approach, EconomicOperand
overview, EconomicOperand
regulatory capital management, EconomicOperand
relationship with risk, EconomicOperand
Central banks, EconomicOperand
control of systemic risk within EU, EconomicOperand
Ireland, EconomicOperand
as lenders of last resort, EconomicOperand
macro-prudential supervision, EconomicOperand
mandatory central clearing, EconomicOperand
multinational coordination of supervision, EconomicOperand
supervisory role, EconomicOperand
advantages and disadvantages, EconomicOperand
public character of supervision, EconomicOperand
China, EconomicOperand
equity market, EconomicOperand
history and development of market access and licensing, EconomicOperand
investor protection, EconomicOperand
market abuse, EconomicOperand
Citizenship see Financial citizenship, EconomicOperand
Cognitive error, EconomicOperand
Cognitive heuristics, EconomicOperand
anchoring and adjustment, EconomicOperand
availability, EconomicOperand
defined, EconomicOperand
representativeness, EconomicOperand
Collateralized debt obligations (CDOs), EconomicOperand
flawed uses of innovation, EconomicOperand
new processes, EconomicOperand
reform of wholesale and retail distinction, EconomicOperand
Competition, EconomicOperand
market fragmentation, EconomicOperand
US regulatory strategy, EconomicOperand
Compliance strategies,, EconomicOperand
Conduct of business regulation, EconomicOperand
impact of GFC, EconomicOperand
international comparisons, EconomicOperand
client categorization, EconomicOperand
duty of care, EconomicOperand
duty of loyalty, EconomicOperand
enforcement and effectiveness, EconomicOperand
overview, EconomicOperand
remuneration-based risks, EconomicOperand
meaning and scope, EconomicOperand
regulatory backdrop, EconomicOperand
coexisting general law obligations, EconomicOperand
complex frameworks, EconomicOperand
economic and other justifications, EconomicOperand
modal regulatory strategies, EconomicOperand
trading practices, EconomicOperand
Treasury Blueprint for a modernized structure, EconomicOperand
UK approach, EconomicOperand
United States, EconomicOperand
bifurcated regime, EconomicOperand
disclosure practices, EconomicOperand
divergent conduct rules, EconomicOperand
effectiveness of oversight, EconomicOperand
remuneration-based risks, EconomicOperand
Conflicts of interest, EconomicOperand
EU financial regulation, EconomicOperand
gatekeepers, EconomicOperand
disclosure, EconomicOperand
regulatory responses in EU and US, EconomicOperand
underlying problem, EconomicOperand
Germany, EconomicOperand
information asymmetry, EconomicOperand
monetary policy and supervisory functions, EconomicOperand
objectives-based Australian financial supervisory/architecture, EconomicOperand
post-GFC consumer reforms, EconomicOperand
shareholders and managers, EconomicOperand
Consolidated supervision see Integrated supervision, EconomicOperand
Consumer protection, EconomicOperand
see also Conduct of business regulation; Investor protection, EconomicOperand
behavioural biases, EconomicOperand
framing effects, EconomicOperand
overconfidence, EconomicOperand
risk tolerance, EconomicOperand
social influences, EconomicOperand
cognitive heuristics, EconomicOperand
anchoring and adjustment, EconomicOperand
availability, EconomicOperand
defined, EconomicOperand
representativeness, EconomicOperand
concerns for long-term interests, EconomicOperand
ex ante planning, EconomicOperand
‘financial citizens’, EconomicOperand
capabilities, EconomicOperand
decision-making, EconomicOperand
financialization, EconomicOperand
investors and consumers for everyday life , EconomicOperand
limitations, EconomicOperand
origins in social citizenship, EconomicOperand
post-GFC reform, EconomicOperand
regulatory perceptions and policies, EconomicOperand
state intervention, EconomicOperand
underlying concept, EconomicOperand
G,,, EconomicOperand
objective of prudential regulation, EconomicOperand
post-GFC reform, EconomicOperand
conflicts of interest, EconomicOperand
institutional restructuring, EconomicOperand
mortgage-lending practices, EconomicOperand
product intervention, EconomicOperand
restructuring of authorities, EconomicOperand
simplified product disclosure, EconomicOperand
wholesale and retail distinction, EconomicOperand
regulation of retail markets, EconomicOperand
alternative strategies, EconomicOperand
cognate scholarship, EconomicOperand
design challenge, EconomicOperand
distinctive challenges, EconomicOperand
information asymmetry, EconomicOperand
