all,LogicalConnectors
chain,EconomicOperands
fixed-rate,EconomicOperands
lack,EconomicOperands
senior-citizen,EconomicOperands
four,Attributes
section 203(c)(2)(a) of the national housing act (12 u.s.c. 1709(c)(2)(a)),LegalReferences
6.5 percentage points,Attributes
go,FunctionWords
chair,EconomicOperands
mutually agreeable,EconomicOperands
targeted,EconomicOperands
centers,EconomicOperands
payoff,EconomicOperands
bribes,EconomicOperands
calculate,EconomicOperands
zone,EconomicOperands
electricity,EconomicOperands
ranking members,EconomicOperands
section 2(5) of the paperwork reduction act (44 u.s.c. 3502(5)),LegalReferences
"$1,000,000",Attributes
stationery,EconomicOperands
include,EconomicOperands
reconsider,EconomicOperands
worth,EconomicOperands
section 10(c) (12 u.s.c. 2609(c) and (d)),LegalReferences
returned,EconomicOperands
refinance,EconomicOperands
choice,EconomicOperands
nonprime,EconomicOperands
untenable,EconomicOperands
1995,Attributes
minerals,EconomicOperands
arrange,EconomicOperands
made,FunctionWords
recommit,EconomicOperands
deferral,EconomicOperands
"december 23, 2008",Attributes
co-obligor,EconomicOperands
phased-out,EconomicOperands
40 percent,Attributes
enjoy,EconomicOperands
inserting,Other
originate,EconomicOperands
neighborhood,EconomicOperands
rents,EconomicOperands
instrumentalities,EconomicOperands
notwithstanding,LogicalConnectors
loss-of-income,EconomicOperands
misrepresent,EconomicOperands
brokered,EconomicOperands
web-based,EconomicOperands
imported,EconomicOperands
multimedia,EconomicOperands
contributed,EconomicOperands
debate,EconomicOperands
companion,EconomicOperands
booklet,EconomicOperands
disbursed,EconomicOperands
new,EconomicOperands
falling,EconomicOperands
columbite-tantalite,EconomicOperands
stripping,EconomicOperands
56 percent,Attributes
pre-approval,EconomicOperands
tags,EconomicOperands
respectively,LogicalConnectors
unprofessional,EconomicOperands
agreement,EconomicOperands
water,EconomicOperands
subsections (a) and (c)(3) of section 237 (12 u.s.c. 1715z2),LegalReferences
excess,EconomicOperands
cassiterite,EconomicOperands
preamble,EconomicOperands
subsection (e) of section 701 of the equal credit opportunity act (15 u.s.c. 1691),LegalReferences
arena,EconomicOperands
root,EconomicOperands
introductory,EconomicOperands
title xii of division a of the american recovery and reinvestment act of 2009 (public law 111-5 123 stat. 217),LegalReferences
real estate-owned,EconomicOperands
exploitation,EconomicOperands
emergency economic stabilization act of 2008 (public law 110343),LegalReferences
"section 1104(b) of the financial institutions reform, recovery, and enforcement act of 1989 (12 u.s.c. 3333(b))",LegalReferences
"june 25, 2010",Attributes
title v of the gramm-leach-bliley act (15 u.s.c. 6801 et seq.),LegalReferences
except as,LogicalConnectors
32.7 percent,Attributes
redesignated,Other
adjustable,EconomicOperands
stabilization,EconomicOperands
hud-approved,EconomicOperands
danger,EconomicOperands
enactment,Other
collaborating,EconomicOperands
replace,EconomicOperands
flexibility,EconomicOperands
moral,EconomicOperands
"december 1, 2010",Attributes
assignee,EconomicOperands
apply,Other
resets,EconomicOperands
armed,EconomicOperands
section 502(h)(4)(b) of the housing act of 1949 (42 u.s.c. 1472(h)(4)(b)),LegalReferences
standing,EconomicOperands
conventional,EconomicOperands
wealth,EconomicOperands
denominated,EconomicOperands
visit,EconomicOperands
pre-payment,EconomicOperands
flood disaster protection act,LegalReferences
distributing,EconomicOperands
foreclosure-related,EconomicOperands
non-federal,EconomicOperands
reciprocity,EconomicOperands
more,LogicalConnectors
wolframite,EconomicOperands
section 130(a) of the truth in lending act (15 u.s.c. 1640(a)),LegalReferences
benchmark,EconomicOperands
maiden lane,EconomicOperands
