key_cons;category
"/";"EconomicOperands"
"/CASE STUDY";"EconomicOperands"
"002 PERCENT";"Attributes"
"02-MAR";"Attributes"
"05 PERCENT";"Attributes"
"1";"Attributes"
"1 NOTICE";"LegalReferences"
"1 NOTICE PROCEDURES";"LegalReferences"
"1-4 UNIT";"Attributes"
"1-MONTH";"Attributes"
"1-YEAR";"Attributes"
"1/100TH";"Attributes"
"1/3";"Attributes"
"10";"Attributes"
"10 BUSINESS DAYS";"Attributes"
"10 DAYS";"Attributes"
"10 PERCENT";"Attributes"
"10 YEARS";"Attributes"
"10-YEAR";"Attributes"
"100";"Attributes"
"100 PERCENT";"Attributes"
"1000";"Attributes"
"10000";"Attributes"
"100000";"Attributes"
"1000000";"Attributes"
"100000000";"Attributes"
"1000000000";"Attributes"
"10000000000";"Attributes"
"1000000000000";"Attributes"
"1001";"LegalReferences"
"1002";"LegalReferences"
"1006";"LegalReferences"
"101";"LegalReferences"
"101 AND 102 OF THE HIGHER EDUCATION ACT OF 1965 20 USC 1001 1002";"LegalReferences"
"101 PERCENT";"Attributes"
"1011";"LegalReferences"
"1013";"LegalReferences"
"1013A2B";"LegalReferences"
"1013B3";"LegalReferences"
"1014";"LegalReferences"
"1018F";"LegalReferences"
"101C";"LegalReferences"
"101E";"LegalReferences"
"102";"LegalReferences"
"1022";"LegalReferences"
"1022C";"LegalReferences"
"1023";"LegalReferences"
"1024";"LegalReferences"
"1024C1";"LegalReferences"
"1025";"LegalReferences"
"1025A";"LegalReferences"
"1025A1";"LegalReferences"
"1025C";"LegalReferences"
"1026";"LegalReferences"
"1026A";"LegalReferences"
"1027A2A";"LegalReferences"
"1029";"LegalReferences"
"1029A";"LegalReferences"
"102D";"LegalReferences"
"102E";"LegalReferences"
"103";"LegalReferences"
"1031";"LegalReferences"
"1032";"LegalReferences"
"103A";"LegalReferences"
"103AA";"LegalReferences"
"103AA2";"LegalReferences"
"103AA4";"LegalReferences"
"104";"LegalReferences"
"1044";"LegalReferences"
"104A";"LegalReferences"
"104B";"LegalReferences"
"104B1A";"LegalReferences"
"104D";"LegalReferences"
"104E";"LegalReferences"
"105";"LegalReferences"
"105A20";"LegalReferences"
"105B";"LegalReferences"
"105B3";"LegalReferences"
"105B4B";"LegalReferences"
"105B5";"LegalReferences"
"105B5A";"LegalReferences"
"105C1";"LegalReferences"
"105C4";"LegalReferences"
"105C6";"LegalReferences"
"105C7B";"LegalReferences"
"105I";"LegalReferences"
"106";"LegalReferences"
"1061";"LegalReferences"
"1061B1";"LegalReferences"
"1061B2";"LegalReferences"
"1061B3";"LegalReferences"
"1061B4";"LegalReferences"
"1061B5";"LegalReferences"
"1061B6";"LegalReferences"
"1061B7";"LegalReferences"
"1062";"LegalReferences"
"1064";"LegalReferences"
"106A";"LegalReferences"
"106A4";"LegalReferences"
"106E";"LegalReferences"
"106G";"LegalReferences"
"106G1";"LegalReferences"
"107";"LegalReferences"
"1076";"LegalReferences"
"107A";"LegalReferences"
"107B";"LegalReferences"
"107D3";"LegalReferences"
"108";"LegalReferences"
"1081";"LegalReferences"
"1083";"LegalReferences"
"108A";"LegalReferences"
"108C";"LegalReferences"
"109";"LegalReferences"
"10A";"LegalReferences"
"10A1";"LegalReferences"
"10A2";"LegalReferences"
"10B";"LegalReferences"
"10B2";"LegalReferences"
"10B3";"LegalReferences"
"10C";"LegalReferences"
"10C2";"LegalReferences"
"10C9A";"LegalReferences"
"10C9C";"LegalReferences"
"10C9D";"LegalReferences"
"10E";"LegalReferences"
"10E2";"LegalReferences"
"10G1";"LegalReferences"
"10O";"LegalReferences"
"11";"LegalReferences"
"110";"LegalReferences"
"1101";"LegalReferences"
"1103A";"LegalReferences"
"1104";"LegalReferences"
"1104B";"LegalReferences"
"1105";"LegalReferences"
"1105A";"LegalReferences"
"1105C";"LegalReferences"
"1106";"LegalReferences"
