key;KEY;EconomicOperands
$1,000;1000;Attributes
$1,000,000;1000000;Attributes
$1,000,000,000;1000000000;Attributes
$1,000,000,000,000;1000000000000;Attributes
$1,244,000,000;1244000000;Attributes
$1,259,000,000;1259000000;Attributes
$1,300,000,000;1300000000;Attributes
$1,500,000,000;1500000000;Attributes
$1,750,000,000;1750000000;Attributes
$10,000;10000;Attributes
$10,000,000,000;10000000000;Attributes
$10.00;1000;Attributes
$100;100;Attributes
$100,000;100000;Attributes
$100,000,000;100000000;Attributes
$10000000000;10000000000;Attributes
$140,000;140000;Attributes
$15,000,000,000;15000000000;Attributes
$150;150;Attributes
$150,000;150000;Attributes
$150,000,000;150000000;Attributes
$175,000,000,000;175000000000;Attributes
$2,000;2000;Attributes
$2,000,000,000;2000000000;Attributes
$2,250,000,000;2250000000;Attributes
$2,500;2500;Attributes
$2,500,000,000;2500000000;Attributes
$20,000;20000;Attributes
$20,000,000;20000000;Attributes
$200,000,000;200000000;Attributes
$200,000,000,000;200000000000;Attributes
$25;25;Attributes
$25,000;25000;Attributes
$25,000,000;25000000;Attributes
$250,000;250000;Attributes
$250,000,000;250000000;Attributes
$3,000,000;3000000;Attributes
$30,000,000;30000000;Attributes
$300,000,000;300000000;Attributes
$35,000,000;35000000;Attributes
$375,000;375000;Attributes
$45,000,000;45000000;Attributes
$475,000,000,000;475000000000;Attributes
$5,000;5000;Attributes
$5,000,000,000;5000000000;Attributes
$5,300,000,000,000;5300000000000;Attributes
$50;50;Attributes
$50,000,000;50000000;Attributes
$50,000,000,000;50000000000;Attributes
$500,000;500000;Attributes
$50000000000;50000000000;Attributes
$7,500;7500;Attributes
$700,000,000,000;700000000000;Attributes
$725,000;725000;Attributes
$75,000;75000;Attributes
$75,000,000;75000000;Attributes
$8,000,000;8000000;Attributes
(;;Attributes
0.02 percent;002 PERCENT;Attributes
0.5 percent;05 PERCENT;Attributes
02-Mar;02-MAR;Attributes
1;1;Attributes
1-4 unit;1-4 UNIT;Attributes
1-month;1-MONTH;Attributes
1-year;1-YEAR;Attributes
1.35 percent;135 PERCENT;Attributes
1.5;15;Attributes
1/100th;1/100TH;Attributes
1/3;1/3;Attributes
10;10;Attributes
10 business days;10 BUSINESS DAYS;Attributes
10 days;10 DAYS;Attributes
10 percent;10 PERCENT;Attributes
10 years;10 YEARS;Attributes
10-year;10-YEAR;Attributes
10.1 percent;101 PERCENT;Attributes
100;100;Attributes
100 percent;100 PERCENT;Attributes
12;12;Attributes
12 months;12 MONTHS;Attributes
12-month;12-MONTH;Attributes
120 days;120 DAYS;Attributes
120-day;120-DAY;Attributes
125;125;Attributes
13.3;133;Attributes
14 days;14 DAYS;Attributes
14 unit;14 UNIT;Attributes
15;15;Attributes
15 days;15 DAYS;Attributes
15 months;15 MONTHS;Attributes
15 percent;15 PERCENT;Attributes
15-day;15-DAY;Attributes
150-day;150-DAY;Attributes
18 months;18 MONTHS;Attributes
18-month;18-MONTH;Attributes
180 days;180 DAYS;Attributes
180-day;180-DAY;Attributes
1970;1970;Attributes
1995;1995;Attributes
1996;1996;Attributes
1st;1ST;Attributes
2;2;Attributes
2 months;2 MONTHS;Attributes
2 years;2 YEARS;Attributes
2-year;2-YEAR;Attributes
2.5;25;Attributes
2/3;2/3;Attributes
20;20;Attributes
2001;2001;Attributes
2002;2002;Attributes
2003;2003;Attributes
2004;2004;Attributes
2005;2005;Attributes
2006;2006;Attributes
2007;2007;Attributes
2008;2008;Attributes
2009;2009;Attributes
2010;2010;Attributes
2011;2011;Attributes
2012;2012;Attributes
2013;2013;Attributes
2014;2014;Attributes
2015;2015;Attributes
21 days;21 DAYS;Attributes
210;210;Attributes
23;23;Attributes
24 hours;24 HOURS;Attributes
24 months;24 MONTHS;Attributes
24-hour;24-HOUR;Attributes
24-month;24-MONTH;Attributes
25;25;Attributes
25 percent;25 PERCENT;Attributes
270 days;270 DAYS;Attributes
28 days;28 DAYS;Attributes
28 percent;28 PERCENT;Attributes
2nd;2ND;Attributes
3;3;Attributes
3 days;3 DAYS;Attributes
3-year;3-YEAR;Attributes
3.5;35;Attributes
30;30;Attributes
30 days;30 DAYS;Attributes
30 legislative days;30 LEGISLATIVE DAYS;Attributes
30 months;30 MONTHS;Attributes
30 percent;30 PERCENT;Attributes
30-day;30-DAY;Attributes
30-month;30-MONTH;Attributes
30-year;30-YEAR;Attributes
31.0;310;Attributes
32.7 percent;327 PERCENT;Attributes
330-day;330-DAY;Attributes
36 months;36 MONTHS;Attributes
360 days;360 DAYS;Attributes
365 days;365 DAYS;Attributes
365-day;365-DAY;Attributes
3rd;3RD;Attributes
4;4;Attributes
4-year;4-YEAR;Attributes
40 percent;40 PERCENT;Attributes
42 percent;42 PERCENT;Attributes
44 percent;44 PERCENT;Attributes
44.3;443;Attributes
45 days;45 DAYS;Attributes
4th;4TH;Attributes
5;5;Attributes
5 percent;5 PERCENT;Attributes
5 years;5 YEARS;Attributes
5-year;5-YEAR;Attributes
50;50;Attributes
50 percent;50 PERCENT;Attributes
50.1 percent;501 PERCENT;Attributes
500;500;Attributes
56 percent;56 PERCENT;Attributes
6;6;Attributes
6 months;6 MONTHS;Attributes
6 years;6 YEARS;Attributes
6-month;6-MONTH;Attributes
6.5 percentage points;65 PERCENTAGE POINTS;Attributes
60 days;60 DAYS;Attributes
60 percent;60 PERCENT;Attributes
60-day;60-DAY;Attributes
62;62;Attributes
6th;6TH;Attributes
7;7;Attributes
7 years;7 YEARS;Attributes
75 percent;75 PERCENT;Attributes
78.8 percent;788 PERCENT;Attributes
79.9 percent;799 PERCENT;Attributes
8;8;Attributes
8 months;8 MONTHS;Attributes
8.5 percentage points;85 PERCENTAGE POINTS;Attributes
85 percent;85 PERCENT;Attributes
9;9;Attributes
9 months;9 MONTHS;Attributes
9-month;9-MONTH;Attributes
90 calendar days;90 CALENDAR DAYS;Attributes
90 days;90 DAYS;Attributes
90 percent;90 PERCENT;Attributes
90-day;90-DAY;Attributes
Annual;ANNUAL;Attributes
Consistent;CONSISTENT;Attributes
Direct;DIRECT;Attributes
Equitable;EQUITABLE;Attributes
Necessary;NECESSARY;Attributes
Periodic;PERIODIC;Attributes
Permissible;PERMISSIBLE;Attributes
Reasonable;REASONABLE;Attributes
S;S;Attributes
