This	B-T2	O	O	
title	I-T2	O	O	
may	B-C	O	O	
be	I-C	O	O	
cited	I-C	O	O	
as	I-C	O	O	
the	I-C	O	O	
Private	I-C	O	O	
Fund	I-C	O	O	
Investment	I-C	O	O	
Advisers	I-C	O	O	
Registration	I-C	O	O	
Act	I-C	O	O	
of	I-C	O	O	
2010	I-C	O	O	
.	O	O	O	
Section	B-T3	O	O	
202	I-T3	O	O	
-LRB-	I-T3	O	O	
a	I-T3	O	O	
-RRB-	I-T3	O	O	
of	B-A1	O	O	
the	I-A1	O	O	
Investment	I-A1	O	O	
Advisers	I-A1	O	O	
Act	I-A1	O	O	
of	I-A1	O	O	
1940	I-A1	O	O	
-LRB-	I-A1	O	O	
15	I-A1	O	O	
U.S.C.	I-A1	O	O	
80b-2	I-A1	O	O	
-LRB-	I-A1	O	O	
a	I-A1	O	O	
-RRB-	I-A1	O	O	
-RRB-	I-A1	O	O	
is	B-C	O	O	
amended	I-C	O	O	
by	B-A1	O	O	
adding	I-A1	O	O	
at	I-A1	O	O	
the	I-A1	O	O	
end	I-A1	O	O	
the	I-A1	O	O	
following	I-A1	O	O	
:	I-A1	O	O	
-LRB-	B-EL	O	O	
29	I-EL	O	O	
-RRB-	I-EL	O	O	
The	I-EL	O	O	
term	I-EL	O	O	
private	I-EL	O	O	
fund	I-EL	O	O	
means	B-ER	O	O	
an	I-ER	B-T1	O	
issuer	I-ER	I-T1	O	
that	I-ER	B-A1	O	
would	I-ER	I-A1	O	
be	I-ER	I-A1	O	
an	I-ER	I-A1	B-T1	
investment	I-ER	I-A1	I-T1	
company	I-ER	I-A1	I-T1	
,	I-ER	I-A1	I-T1	
as	I-ER	I-A1	B-A2	
defined	I-ER	I-A1	I-A2	
in	I-ER	I-A1	I-A2	
section	I-ER	I-A1	I-A2	
3	I-ER	I-A1	I-A2	
of	I-ER	I-A1	I-A2	
the	I-ER	I-A1	I-A2	
Investment	I-ER	I-A1	I-A2	
Company	I-ER	I-A1	I-A2	
Act	I-ER	I-A1	I-A2	
of	I-ER	I-A1	I-A2	
1940	I-ER	I-A1	I-A2	
-LRB-	I-ER	I-A1	I-A2	
15	I-ER	I-A1	I-A2	
U.S.C.	I-ER	I-A1	I-A2	
80a-3	I-ER	I-A1	I-A2	
-RRB-	I-ER	I-A1	I-A2	
,	I-ER	I-A1	I-A2	
but	I-ER	I-A1	O	
for	I-ER	I-A1	O	
section	I-ER	I-A1	O	
3	I-ER	I-A1	O	
-LRB-	I-ER	I-A1	O	
c	I-ER	I-A1	O	
-RRB-	I-ER	I-A1	O	
-LRB-	I-ER	I-A1	O	
1	I-ER	I-A1	O	
-RRB-	I-ER	I-A1	O	
or	I-ER	I-A1	O	
3	I-ER	I-A1	O	
-LRB-	I-ER	I-A1	O	
c	I-ER	I-A1	O	
-RRB-	I-ER	I-A1	O	
-LRB-	I-ER	I-A1	O	
7	I-ER	I-A1	O	
-RRB-	I-ER	I-A1	O	
of	I-ER	I-A1	O	
that	I-ER	I-A1	O	
Act	I-ER	I-A1	O	
.	O	O	O	
-LRB-	B-EL	O	O	
30	I-EL	O	O	
-RRB-	I-EL	O	O	
The	I-EL	O	O	
