may be cited as the,LogicalOperators
chairperson,RegulationOperators
nonbank financial,RegulationOperators
member agency,LegalOperators
bank holding company,GrammaticalOperators
the following definitions,EconomicOperand
american taxpayers,LegalOperators
context otherwise,LegalReferences
holding company'' has,EconomicOperand
supervision,LegalReferences
the term,GrammaticalOperators
dual system,GrammaticalOperators
banking system,LegalOperators
and appropriate,GrammaticalOperators
of,RegulationOperators
definitions,Other
short title,GrammaticalOperators
requires,EconomicOperand
to ensure the fair,EconomicOperand
enhancing financial institution,LegalOperators
