section 2(p) of the bank holding company act of 1956 (12 u.s.c. 1841(p)),L
the federal advisory committee act (5 u.s.c. app.),L
bank holding company,D
section 2 of the bank holding company act of 1956 (12 u.s.c. 1841),L
section 3 of the federal deposit insurance act (12 u.s.c. 1813),L
commission under the investment advisers act of 1940,L
financial stability oversight council,R
commission under the investment company act of 1940,L
section 1a of the commodity exchange act (7 u.s.c. 1 et seq.),L
section 10 of the home owners' loan act (12 u.s.c. 1467a(a)),L
section 3(q) of the federal deposit insurance act (12 u.s.c. 1813(q)),L
commission under the securities exchange act of 1934,L
section 5(c)(5) of the bank holding company act of 1956 (12 u.s.c. 1844(c)(5)),L
