authority,LegalOperators
"ured, disputed",RegulationOperators
pay,GrammaticalOperators
"pant'',",GrammaticalOperators
ch right,LegalOperators
bankruptcy code,LegalReferences
administrative,GrammaticalOperators
company,LegalReferences
mooth,GrammaticalOperators
ited states cod,LegalOperators
etermine,EconomicOperand
contingent,GrammaticalOperators
provisions,LegalOperators
american taxpayers,GrammaticalOperators
genera,LegalReferences
miscellaneous,GrammaticalOperators
the term,EconomicOperand
covered broker or dealer,LogicalOperators
wned by the,GrammaticalOperators
it back,GrammaticalOperators
judgment,GrammaticalOperators
that is a broker,LegalOperators
restrictions,EconomicOperand
board of executive,GrammaticalOperators
the amount,LegalOperators
has the same,RegulationOperators
securities,RegulationOperators
"egal, equit",EconomicOperand
receiver,GrammaticalOperators
fixed,GrammaticalOperators
facilitate,LogicalOperators
reduced,RegulationOperators
