v1	v2
""	"Attributes"
"$10,000,000,000"	"Attributes"
"$10000000000"	"Attributes"
"$50,000,000,000"	"Attributes"
"$50000000000"	"Attributes"
"02-Mar"	"Attributes"
"10 percent"	"Attributes"
"14 days"	"Attributes"
"15 percent"	"Attributes"
"18 months"	"Attributes"
"2 months"	"Attributes"
"2 years"	"Attributes"
"2/3"	"Attributes"
"25 percent"	"Attributes"
"30 days"	"Attributes"
"6 months"	"Attributes"
"6 years"	"Attributes"
"60 days"	"Attributes"
"60-day"	"Attributes"
"85 percent"	"Attributes"
"9 months"	"Attributes"
"90 days"	"Attributes"
"Annual"	"Attributes"
"Consistent"	"Attributes"
"December 1 2009"	"Attributes"
"Direct"	"Attributes"
"Equitable"	"Attributes"
"May 1 2010"	"Attributes"
"Necessary"	"Attributes"
"November 23 2009"	"Attributes"
"Periodic"	"Attributes"
"Permissible"	"Attributes"
"Reasonable"	"Attributes"
"S"	"Attributes"
"SAFE"	"Attributes"
"Safe"	"Attributes"
"To the extent feasible"	"Attributes"
"Total"	"Attributes"
"Wells"	"Attributes"
"acceptable"	"Attributes"
"adequate"	"Attributes"
"adequately"	"Attributes"
"annual"	"Attributes"
"appropriate"	"Attributes"
"appropriately"	"Attributes"
"consistent"	"Attributes"
"december 1, 2009"	"Attributes"
"direct"	"Attributes"
"directly"	"Attributes"
"equitable"	"Attributes"
"externally"	"Attributes"
"immediately"	"Attributes"
"indirect"	"Attributes"
"indirectly"	"Attributes"
"may 1, 2010"	"Attributes"
"necessary"	"Attributes"
"november"	"Attributes"
"november 23, 2009"	"Attributes"
"percent"	"Attributes"
"periodic"	"Attributes"
"periodically"	"Attributes"
"permissible"	"Attributes"
"promptly"	"Attributes"
"reasonable"	"Attributes"
"s"	"Attributes"
"safe"	"Attributes"
"sound"	"Attributes"
"to the extent feasible"	"Attributes"
"to the fullest extent possible"	"Attributes"
"total"	"Attributes"
"undue"	"Attributes"
"unsafe"	"Attributes"
"unsound"	"Attributes"
"well"	"Attributes"
"ACH"	"EconomicOperands"
"ARM"	"EconomicOperands"
"Ability"	"EconomicOperands"
"Access"	"EconomicOperands"
"Account"	"EconomicOperands"
"Accountability"	"EconomicOperands"
"Accounting Standards"	"EconomicOperands"
"Accounts"	"EconomicOperands"
"Acquisition"	"EconomicOperands"
"Acquisitions"	"EconomicOperands"
"Acting"	"EconomicOperands"
"Action"	"EconomicOperands"
"Actions"	"EconomicOperands"
"Activities"	"EconomicOperands"
"Activity"	"EconomicOperands"
"Adjoining country"	"EconomicOperands"
"Adjustable Rate Mortgages"	"EconomicOperands"
"Adjustment"	"EconomicOperands"
"Adjustments"	"EconomicOperands"
"Administrative expenses of the receiver"	"EconomicOperands"
"Admitted insurer"	"EconomicOperands"
"Advance"	"EconomicOperands"
"Advances"	"EconomicOperands"
"Affected employees"	"EconomicOperands"
"Affiliate"	"EconomicOperands"
"Affiliate transactions"	"EconomicOperands"
"Affiliated group"	"EconomicOperands"
"Affiliated groups"	"EconomicOperands"
"Affiliates"	"EconomicOperands"
"Affordable"	"EconomicOperands"
"Agency"	"EconomicOperands"
"Agency administrator"	"EconomicOperands"
"Aggregate"	"EconomicOperands"
"Allocation"	"EconomicOperands"
"Alternating"	"EconomicOperands"
"Amount"	"EconomicOperands"
"Amounts"	"EconomicOperands"
"Analysis"	"EconomicOperands"
"Antitrust"	"EconomicOperands"
"Application"	"EconomicOperands"
"Applications"	"EconomicOperands"
"Appraisal"	"EconomicOperands"
"Appraisal management company"	"EconomicOperands"
"Appropriate Federal Banking Agency"	"EconomicOperands"
"Appropriate Federal banking agency"	"EconomicOperands"
"Appropriate congressional committees"	"EconomicOperands"
"Appropriate federal banking agency"	"EconomicOperands"
"Appropriate financial regulator"	"EconomicOperands"
"Armed group"	"EconomicOperands"
"Arrangements"	"EconomicOperands"
"Asia"	"EconomicOperands"
"Assessment"	"EconomicOperands"
"Assessment base"	"EconomicOperands"
"Assessments"	"EconomicOperands"
"Asset"	"EconomicOperands"
"Asset-Backed Commercial Paper Money Market Mutual Fund Liquidity Facility"	"EconomicOperands"
"Asset-Backed Securities"	"EconomicOperands"
"Asset-backed securities"	"EconomicOperands"
"Asset-backed security"	"EconomicOperands"
"Associated person of a security-based swap dealer or major security-based swap participant"	"EconomicOperands"
"Associated person of a swap dealer or major swap participant"	"EconomicOperands"
"Association"	"EconomicOperands"
"Assuring"	"EconomicOperands"
"Audit report"	"EconomicOperands"
"Authority"	"EconomicOperands"
"Automated Valuation Models"	"EconomicOperands"
"Automated valuation model"	"EconomicOperands"
