class,EconomicOperands
Payment,EconomicOperands
clearing,EconomicOperands
and,LogicalConnectors
supervision,EconomicOperands
Short title,LegalReferences
title,LegalReferences
may,FunctionWords
be,FunctionWords
cited,Other
as,FunctionWords
the,FunctionWords
Payment Clearing and Settlement Supervision Act of 2010,LegalReferences
purposes,EconomicOperands
Congress,EconomicOperands
following,FunctionWords
The,FunctionWords
of,FunctionWords
financial markets,EconomicOperands
is,FunctionWords
upon,FunctionWords
safe,Attributes
arrangements,EconomicOperands
for,FunctionWords
payment,EconomicOperands
securities,EconomicOperands
other,FunctionWords
financial transactions,EconomicOperands
Financial,EconomicOperands
market,EconomicOperands
that,FunctionWords
conduct,EconomicOperands
or,LogicalConnectors
activities,EconomicOperands
reduce,EconomicOperands
risks,EconomicOperands
their,FunctionWords
financial system,EconomicOperands
but,LogicalConnectors
such,FunctionWords
also,LogicalConnectors
new,EconomicOperands
thus,LogicalConnectors
must,FunctionWords
well,Attributes
in,FunctionWords
a,FunctionWords
sound,Attributes
manner,Other
activities conducted,EconomicOperands
by,FunctionWords
financial institutions,EconomicOperands
to,FunctionWords
regulation and supervision,EconomicOperands
systemically important,EconomicOperands
financial,EconomicOperands
conduct of,EconomicOperands
are,FunctionWords
necessary,Attributes
provide,EconomicOperands
risk management,EconomicOperands
safety,EconomicOperands
soundness,EconomicOperands
systemic risks,EconomicOperands
stability,EconomicOperands
Purpose,EconomicOperands
purpose,EconomicOperands
this,FunctionWords
title is,LegalReferences
mitigate,RegulatoryOperators
systemic risk,EconomicOperands
financial stability,EconomicOperands
Board of Governors,EconomicOperands
standards,EconomicOperands
management,EconomicOperands
an,FunctionWords
role,EconomicOperands
liquidity,EconomicOperands
Definitions,EconomicOperands
this title,LegalReferences
definitions,EconomicOperands
shall,FunctionWords
apply,RegulatoryOperators
Appropriate financial regulator,EconomicOperands
term,Other
appropriate financial regulator,EconomicOperands
means,Other
primary financial regulatory agency,EconomicOperands
defined,EconomicOperands
section 2,LegalReferences
this Act,LegalReferences
Credit Union,EconomicOperands
with respect to,LogicalConnectors
any,FunctionWords
insured credit union,EconomicOperands
under,FunctionWords
the Federal Credit Union Act 12 USC 1751 et seq,LegalReferences
operating,EconomicOperands
section,LegalReferences
the Federal Reserve Act 12 USC 611,LegalReferences
financial institution,EconomicOperands
designated activity,EconomicOperands
Designated activity,EconomicOperands
payment clearing or settlement activity,EconomicOperands
Council,EconomicOperands
has,FunctionWords
section 804,LegalReferences
Designated clearing entity,EconomicOperands
designated clearing entity,EconomicOperands
designated financial market utility,EconomicOperands
that is,LogicalConnectors
derivatives clearing organization,EconomicOperands
registered,EconomicOperands
the Commodity Exchange Act 7 USC 7a-1,LegalReferences
agency,EconomicOperands
with,FunctionWords
Securities and Exchange Commission,EconomicOperands
the Securities Exchange Act of 1934 15 USC 78q-1,LegalReferences
Designated financial market utility,EconomicOperands
financial market utility,EconomicOperands
Financial institution,EconomicOperands
In general,FunctionWords
depository institution,EconomicOperands
section 3,LegalReferences
the Federal Deposit Insurance Act 12 USC 1813,LegalReferences
branch,EconomicOperands
foreign bank,EconomicOperands
section 1b,LegalReferences
the International Banking Act of 1978 12 USC 3101,LegalReferences
section 25,LegalReferences
the Federal Reserve Act,LegalReferences
through,FunctionWords
credit union,EconomicOperands
section 101,LegalReferences
the Federal Credit Union Act 12 USC 1752,LegalReferences
broker,EconomicOperands
dealer,EconomicOperands
the Securities Exchange Act of 1934 15 USC 78c,LegalReferences
investment company,EconomicOperands
the Investment Company Act of 1940,LegalReferences
insurance company,EconomicOperands
investment adviser,EconomicOperands
section 202,LegalReferences
the Investment Advisers Act of 1940,LegalReferences
futures commission merchant,EconomicOperands
commodity trading advisor,EconomicOperands
commodity pool operator,EconomicOperands
the Commodity Exchange Act,LegalReferences
company,EconomicOperands
nature,EconomicOperands
incidental,EconomicOperands
activity,EconomicOperands
described,Other
section 4,LegalReferences
the Bank Holding Company Act of 1956 12 USC 1843k,LegalReferences
does not,FunctionWords
include,EconomicOperands
contract,EconomicOperands
markets,EconomicOperands
futures,EconomicOperands
associations,EconomicOperands
swap,EconomicOperands
data,EconomicOperands
the Commodity Exchange Act 7 USC 1 et seq,LegalReferences
exchanges,EconomicOperands
systems,EconomicOperands
information,EconomicOperands
solely,LogicalConnectors
entity,EconomicOperands
security-based swap,EconomicOperands
the Securities Exchange Act of 1934 15 USC 78a et seq,LegalReferences
entities,EconomicOperands
provided that,LogicalConnectors
subparagraph,Other
require,RegulatoryOperators
so,LogicalConnectors
Financial market utility,EconomicOperands
person,EconomicOperands
system,EconomicOperands
for the purpose of,LogicalConnectors
payments,EconomicOperands
among,FunctionWords
between,FunctionWords
respecting,FunctionWords
terms,Other
of securities,EconomicOperands
transactions,EconomicOperands
on,FunctionWords
exchange,EconomicOperands
controlled,EconomicOperands
transfer,EconomicOperands
agent,EconomicOperands
introducing broker,EconomicOperands
functions,EconomicOperands
institution,EconomicOperands
part,FunctionWords
acting,EconomicOperands
in connection with,FunctionWords
services,EconomicOperands
its,EconomicOperands
use,EconomicOperands
not,FunctionWords
functions of,EconomicOperands
Payment clearing or settlement activity,EconomicOperands
out,FunctionWords
1,FunctionWords
more,FunctionWords
sale,EconomicOperands
security,EconomicOperands
the Securities Act of 1933 15 USC 77a et seq,LegalReferences
order,EconomicOperands
Financial transaction,EconomicOperands
For,FunctionWords
subparagraph A,LegalReferences
financial transaction,EconomicOperands
includes,EconomicOperands
funds,EconomicOperands
transfers,EconomicOperands
securities contracts,EconomicOperands
contracts,EconomicOperands
commodity,EconomicOperands
future,EconomicOperands
delivery,EconomicOperands
forward contracts,EconomicOperands
repurchase agreements,EconomicOperands
swaps,EconomicOperands
security-based swaps,EconomicOperands
swap agreements,EconomicOperands
security-based swap agreements,EconomicOperands
foreign exchange,EconomicOperands
derivatives,EconomicOperands
similar,FunctionWords
transaction,EconomicOperands
determines,RegulatoryOperators
When,FunctionWords
conducted,EconomicOperands
provision,EconomicOperands
final,EconomicOperands
determine,RegulatoryOperators
public,EconomicOperands
reporting,EconomicOperands
section 727,LegalReferences
the Wall Street Transparency and Accountability Act of 2010,LegalReferences
Supervisory agency,EconomicOperands
Supervisory Agency,EconomicOperands
Federal agency,EconomicOperands
jurisdiction,EconomicOperands
over,FunctionWords
Federal,EconomicOperands
banking,EconomicOperands
laws,EconomicOperands
as follows,FunctionWords
Commodity Futures Trading Commission,EconomicOperands
appropriate Federal banking agency,EconomicOperands
section 3q,LegalReferences
the Federal Deposit Insurance Act,LegalReferences
otherwise,LogicalConnectors
subject to,LogicalConnectors
clauses i ii and iii,LegalReferences
If,LogicalConnectors
than,FunctionWords
then,LogicalConnectors
agencies,EconomicOperands
should,FunctionWords
act,LegalReferences
if,LogicalConnectors
which,FunctionWords
Systemically important,EconomicOperands
systemic importance,EconomicOperands
mean,Other
where,FunctionWords
failure,EconomicOperands
could,FunctionWords
increase,EconomicOperands
risk,EconomicOperands
credit,EconomicOperands
problems,EconomicOperands
United States,EconomicOperands
Financial Stability Oversight Council,EconomicOperands
fewer,FunctionWords
2/3,Attributes
members,EconomicOperands
including,EconomicOperands
Chairperson,EconomicOperands
those,FunctionWords
In,FunctionWords
determining,EconomicOperands
whether,FunctionWords
take into consideration,EconomicOperands
aggregate,EconomicOperands
monetary,EconomicOperands
value,EconomicOperands
exposure,EconomicOperands
relationship,EconomicOperands
effect,EconomicOperands
would,FunctionWords
have,FunctionWords
Any,FunctionWords
deems,RegulatoryOperators
appropriate,Attributes
no,FunctionWords
Effect,EconomicOperands
Upon,FunctionWords
conducting,EconomicOperands
will,FunctionWords
provisions,EconomicOperands
rules,EconomicOperands
orders,EconomicOperands
prescribed,RegulatoryOperators
Consultation,EconomicOperands
notice,EconomicOperands
opportunity,EconomicOperands
Before,LogicalConnectors
making,FunctionWords
subsection a or b,LegalReferences
consult,EconomicOperands
Advance,EconomicOperands
in the case of,LogicalConnectors
advance,EconomicOperands
Notice,EconomicOperands
Requests,EconomicOperands
Within,FunctionWords
30 days,Attributes
from,FunctionWords
date,EconomicOperands
request,EconomicOperands
writing,EconomicOperands
before,LogicalConnectors
evidence,EconomicOperands
time,EconomicOperands
after,LogicalConnectors
unless,LogicalConnectors
at,FunctionWords
submit,EconomicOperands
discretion,EconomicOperands
Emergency,EconomicOperands
exception,RegulatoryOperators
modification,EconomicOperands
requirements,EconomicOperands
paragraph 2,LegalReferences
prevent,RegulatoryOperators
threat,EconomicOperands
later,FunctionWords
3,FunctionWords
business days,EconomicOperands
After,LogicalConnectors
60 days,Attributes
subsection c2,LegalReferences
not later,LogicalConnectors
All,FunctionWords
notices,EconomicOperands
this subsection,LegalReferences
periods,EconomicOperands
subsections c and d,LegalReferences
Standards,EconomicOperands
Authority,EconomicOperands
prescribe,RegulatoryOperators
Except,FunctionWords
provided,EconomicOperands
rule,EconomicOperands
consultation,EconomicOperands
Supervisory Agencies,EconomicOperands
into,FunctionWords
international,EconomicOperands
existing,EconomicOperands
operations,EconomicOperands
related,FunctionWords
procedures,EconomicOperands
certain,FunctionWords
CFTC,EconomicOperands
Commission,EconomicOperands
each,FunctionWords
regulations,EconomicOperands
both,FunctionWords
pursuant to,FunctionWords
operational,EconomicOperands
subparagraph B,LegalReferences
applicable,FunctionWords
whole,FunctionWords
ensure,RegulatoryOperators
pose,EconomicOperands
analysis,EconomicOperands
identify,EconomicOperands
commission,EconomicOperands
within,FunctionWords
either,LogicalConnectors
as to,FunctionWords
explanation,EconomicOperands
actions,EconomicOperands
subparagraph D,LegalReferences
determined,RegulatoryOperators
Objectives,EconomicOperands
principles,EconomicOperands
objectives,EconomicOperands
subsection a,LegalReferences
Scope,EconomicOperands
such as,LogicalConnectors
policies,EconomicOperands
margin,EconomicOperands
collateral requirements,EconomicOperands
default,EconomicOperands
ability,EconomicOperands
capital,EconomicOperands
subsection b,LegalReferences
Limitation,EconomicOperands
scope,EconomicOperands
subsections e and f,LegalReferences
section 807,LegalReferences
nothing,FunctionWords
construed,Other
permit,RegulatoryOperators
take,FunctionWords
action,EconomicOperands
exercise,EconomicOperands
authority,EconomicOperands
granted,LogicalConnectors
