key;category;id_key;id_category;category_count;total_count;_duplicate
"is";"LogicalConnectors";2674;5;24677;2514;3
"is";"FunctionWords";2674;3;119649;2514;3
"is";"LegalReferences";2674;4;11153;2514;3
"(4)";"LegalReferences";45;4;11153;114;2
"(4)";"FunctionWords";45;3;119649;114;2
"(G)";"LegalReferences";77;4;11153;18;2
"(G)";"EconomicOperands";77;2;73007;18;2
"(I)";"FunctionWords";81;3;119649;39;2
"(I)";"LegalReferences";81;4;11153;39;2
"(a)";"FunctionWords";95;3;119649;308;2
"(a)";"LegalReferences";95;4;11153;308;2
"(as";"FunctionWords";112;3;119649;261;2
"(as";"LogicalConnectors";112;5;24677;261;2
"(g)";"EconomicOperands";155;2;73007;31;2
"(g)";"LegalReferences";155;4;11153;31;2
"(i)";"FunctionWords";169;3;119649;176;2
"(i)";"LegalReferences";169;4;11153;176;2
"(s)";"LegalReferences";202;4;11153;4;2
"(s)";"Attributes";202;1;2335;4;2
"(vi)";"EconomicOperands";216;2;73007;9;2
"(vi)";"LegalReferences";216;4;11153;9;2
"1";"EconomicOperands";229;2;73007;235;2
"1";"FunctionWords";229;3;119649;235;2
"1934";"LegalReferences";645;4;11153;159;2
"1934";"EconomicOperands";645;2;73007;159;2
"2";"FunctionWords";677;3;119649;76;2
"2";"LegalReferences";677;4;11153;76;2
"2009";"Attributes";720;1;2335;4;2
"2009";"LegalReferences";720;4;11153;4;2
"2010";"LegalReferences";725;4;11153;134;2
"2010";"Attributes";725;1;2335;134;2
"3";"LegalReferences";858;4;11153;103;2
"3";"FunctionWords";858;3;119649;103;2
"4";"FunctionWords";974;3;119649;35;2
"4";"LegalReferences";974;4;11153;35;2
"A";"FunctionWords";1359;3;119649;246;2
"A";"LegalReferences";1359;4;11153;246;2
"Act";"LegalReferences";1369;4;11153;1058;2
"Act";"EconomicOperands";1369;2;73007;1058;2
"For";"FunctionWords";1610;3;119649;234;2
"For";"LogicalConnectors";1610;5;24677;234;2
"General";"EconomicOperands";1623;2;73007;212;2
"General";"FunctionWords";1623;3;119649;212;2
"General)";"FunctionWords";1624;3;119649;2;2
"General)";"EconomicOperands";1624;2;73007;2;2
"I";"FunctionWords";1645;3;119649;24;2
"I";"LegalReferences";1645;4;11153;24;2
"act";"LegalReferences";1988;4;11153;82;2
"act";"EconomicOperands";1988;2;73007;82;2
"as";"LogicalConnectors";2086;5;24677;2518;2
"as";"FunctionWords";2086;3;119649;2518;2
"effect";"EconomicOperands";2412;2;73007;198;2
"effect";"RegulatoryOperators";2412;7;4175;198;2
"later";"FunctionWords";2688;3;119649;336;2
"later";"LogicalConnectors";2688;5;24677;336;2
"of";"FunctionWords";2843;3;119649;16533;2
"of";"EconomicOperands";2843;2;73007;16533;2
"out";"EconomicOperands";2889;2;73007;182;2
"out";"FunctionWords";2889;3;119649;182;2
"than";"LogicalConnectors";3290;5;24677;789;2
"than";"FunctionWords";3290;3;119649;789;2
"to";"LogicalConnectors";3317;5;24677;9244;2
"to";"FunctionWords";3317;3;119649;9244;2
"with";"LogicalConnectors";3409;5;24677;1933;2
"with";"FunctionWords";3409;3;119649;1933;2
"years";"Attributes";3421;1;2335;119;2
"years";"EconomicOperands";3421;2;73007;119;2
"$10000000000";"Attributes";1;1;2335;18;1
"$50000000000";"Attributes";2;1;2335;19;1
"(";"Attributes";3;1;2335;3;1
"(1)";"LegalReferences";4;4;11153;428;1
"(1)(A)";"LegalReferences";5;4;11153;24;1
"(1)(B)";"LegalReferences";6;4;11153;16;1
"(1)(B))";"LegalReferences";7;4;11153;1;1
"(1)(F)";"LegalReferences";8;4;11153;4;1
"(1))";"LegalReferences";9;4;11153;22;1
"(10)";"LegalReferences";10;4;11153;10;1
"(10)(A)";"LegalReferences";11;4;11153;1;1
"(10)(B))";"LegalReferences";12;4;11153;1;1
"(11)";"LegalReferences";13;4;11153;9;1
"(12)";"LegalReferences";14;4;11153;10;1
"(12)(A)";"LegalReferences";15;4;11153;2;1
"(12)(B)";"LegalReferences";16;4;11153;1;1
"(13)";"LegalReferences";17;4;11153;8;1
"(13)(A)";"LegalReferences";18;4;11153;1;1
"(13)(B)";"LegalReferences";19;4;11153;1;1
"(14)";"LegalReferences";20;4;11153;4;1
"(15)";"LegalReferences";21;4;11153;2;1
"(15)(A)";"LegalReferences";22;4;11153;1;1
"(16)";"LegalReferences";23;4;11153;1;1
"(17)";"LegalReferences";24;4;11153;2;1
"(17)(A)";"LegalReferences";25;4;11153;2;1
"(18)";"LegalReferences";26;4;11153;2;1
"(18)(A)";"LegalReferences";27;4;11153;1;1
"(18)(B)";"LegalReferences";28;4;11153;1;1
"(2)";"LegalReferences";29;4;11153;268;1
"(2)(A)";"LegalReferences";30;4;11153;13;1
"(2)(B)";"LegalReferences";31;4;11153;18;1
"(2))";"LegalReferences";32;4;11153;1;1
"(22)";"LegalReferences";33;4;11153;1;1
"(23)";"LegalReferences";34;4;11153;2;1
"(28)";"LegalReferences";35;4;11153;1;1
"(29)";"LegalReferences";36;4;11153;1;1
"(3)";"LegalReferences";37;4;11153;139;1
"(3)(A)";"LegalReferences";38;4;11153;6;1
"(3)(B)";"LegalReferences";39;4;11153;6;1
"(30)";"LegalReferences";40;4;11153;1;1
"(31)";"LegalReferences";41;4;11153;2;1
"(32)";"LegalReferences";42;4;11153;4;1
"(38)";"LegalReferences";43;4;11153;1;1
