category;category_count
"FunctionWords";119649
"EconomicOperands";73007
"LogicalConnectors";24677
"LegalReferences";11153
"Other";7328
"RegulatoryOperators";4175
"Attributes";2335
category;category_count;category_unique_count
"Attributes";364;32
"EconomicOperands";13681;846
"FunctionWords";23692;175
"LegalReferences";2250;390
"LogicalConnectors";4387;52
"Other";1376;40
"RegulatoryOperators";861;52
category;category_count;category_unique_count
"Attributes";25;12
"EconomicOperands";1368;309
"FunctionWords";2662;104
"LegalReferences";256;68
"LogicalConnectors";437;29
"Other";133;21
"RegulatoryOperators";67;18
category;category_count;category_unique_count
"Attributes";13;5
"EconomicOperands";283;111
"FunctionWords";496;66
"LegalReferences";42;17
"LogicalConnectors";87;4
"Other";25;10
"RegulatoryOperators";29;12
category;category_count;category_unique_count
"Attributes";2;2
"EconomicOperands";209;73
"FunctionWords";468;46
"LegalReferences";44;22
"LogicalConnectors";68;11
"Other";34;10
"RegulatoryOperators";3;3
category;category_count;category_unique_count
"Attributes";257;27
"EconomicOperands";6662;637
"FunctionWords";11612;165
"LegalReferences";1036;213
"LogicalConnectors";2000;51
"Other";634;37
"RegulatoryOperators";326;42
category;category_count;category_unique_count
"Attributes";41;11
"EconomicOperands";882;248
"FunctionWords";1637;81
"LegalReferences";118;37
"LogicalConnectors";236;16
"Other";82;18
"RegulatoryOperators";40;14
category;category_count;category_unique_count
"EconomicOperands";26;9
"FunctionWords";39;15
"LegalReferences";6;6
"LogicalConnectors";17;9
category;category_count;category_unique_count
"Attributes";191;36
"EconomicOperands";5405;612
"FunctionWords";7657;132
"LegalReferences";521;115
"LogicalConnectors";1323;35
"Other";248;26
"RegulatoryOperators";312;44
category;category_count;category_unique_count
"Attributes";188;28
"EconomicOperands";6788;596
"FunctionWords";12961;146
"LegalReferences";737;165
"LogicalConnectors";2150;44
"Other";319;26
"RegulatoryOperators";312;44
category;category_count;category_unique_count
"Attributes";114;16
"EconomicOperands";3383;390
"FunctionWords";5863;115
"LegalReferences";912;239
"LogicalConnectors";1608;27
"Other";968;31
"RegulatoryOperators";116;26
category;category_count;category_unique_count
"Attributes";35;13
"EconomicOperands";1132;235
"FunctionWords";1202;90
"LegalReferences";152;39
"LogicalConnectors";381;22
"Other";103;22
"RegulatoryOperators";44;15
category;category_count;category_unique_count
"Attributes";34;13
"EconomicOperands";1665;351
"FunctionWords";2361;96
"LegalReferences";131;47
"LogicalConnectors";506;27
"Other";122;24
"RegulatoryOperators";69;19
category;category_count;category_unique_count
"Attributes";236;38
"EconomicOperands";4165;593
"FunctionWords";6191;114
"LegalReferences";640;202
"LogicalConnectors";1168;32
"Other";455;35
"RegulatoryOperators";266;50
category;category_count;category_unique_count
"Attributes";448;29
"EconomicOperands";13916;745
"FunctionWords";22203;155
"LegalReferences";2141;317
"LogicalConnectors";4620;48
"Other";1294;33
"RegulatoryOperators";974;50
category;category_count;category_unique_count
"Attributes";65;14
"EconomicOperands";1863;302
"FunctionWords";2527;93
"LegalReferences";254;76
"LogicalConnectors";527;27
"Other";59;15
"RegulatoryOperators";120;23
category;category_count;category_unique_count
"Attributes";322;30
"EconomicOperands";11250;815
"FunctionWords";17554;170
"LegalReferences";1821;342
"LogicalConnectors";5107;55
"Other";1408;41
"RegulatoryOperators";621;54
key;category;id_key;id_category;category_count;total_count;_duplicate
"is";"LogicalConnectors";2674;5;24677;2514;3
"is";"FunctionWords";2674;3;119649;2514;3
"is";"LegalReferences";2674;4;11153;2514;3
"(4)";"LegalReferences";45;4;11153;114;2
"(4)";"FunctionWords";45;3;119649;114;2
"(G)";"LegalReferences";77;4;11153;18;2
"(G)";"EconomicOperands";77;2;73007;18;2
"(I)";"FunctionWords";81;3;119649;39;2
"(I)";"LegalReferences";81;4;11153;39;2
"(a)";"FunctionWords";95;3;119649;308;2
"(a)";"LegalReferences";95;4;11153;308;2
"(as";"FunctionWords";112;3;119649;261;2
"(as";"LogicalConnectors";112;5;24677;261;2
"(g)";"EconomicOperands";155;2;73007;31;2
"(g)";"LegalReferences";155;4;11153;31;2
"(i)";"FunctionWords";169;3;119649;176;2
"(i)";"LegalReferences";169;4;11153;176;2
"(s)";"LegalReferences";202;4;11153;4;2
"(s)";"Attributes";202;1;2335;4;2
"(vi)";"EconomicOperands";216;2;73007;9;2
"(vi)";"LegalReferences";216;4;11153;9;2
"1";"EconomicOperands";229;2;73007;235;2
"1";"FunctionWords";229;3;119649;235;2
"1934";"LegalReferences";645;4;11153;159;2
"1934";"EconomicOperands";645;2;73007;159;2
"2";"FunctionWords";677;3;119649;76;2
"2";"LegalReferences";677;4;11153;76;2
"2009";"Attributes";720;1;2335;4;2
"2009";"LegalReferences";720;4;11153;4;2
"2010";"LegalReferences";725;4;11153;134;2
"2010";"Attributes";725;1;2335;134;2
"3";"LegalReferences";858;4;11153;103;2
"3";"FunctionWords";858;3;119649;103;2
"4";"FunctionWords";974;3;119649;35;2
"4";"LegalReferences";974;4;11153;35;2
"A";"FunctionWords";1359;3;119649;246;2
"A";"LegalReferences";1359;4;11153;246;2
"Act";"LegalReferences";1369;4;11153;1058;2
"Act";"EconomicOperands";1369;2;73007;1058;2
"For";"FunctionWords";1610;3;119649;234;2
"For";"LogicalConnectors";1610;5;24677;234;2
"General";"EconomicOperands";1623;2;73007;212;2
"General";"FunctionWords";1623;3;119649;212;2
"General)";"FunctionWords";1624;3;119649;2;2
"General)";"EconomicOperands";1624;2;73007;2;2
"I";"FunctionWords";1645;3;119649;24;2
"I";"LegalReferences";1645;4;11153;24;2
"act";"LegalReferences";1988;4;11153;82;2
"act";"EconomicOperands";1988;2;73007;82;2
"as";"LogicalConnectors";2086;5;24677;2518;2
"as";"FunctionWords";2086;3;119649;2518;2
"effect";"EconomicOperands";2412;2;73007;198;2
"effect";"RegulatoryOperators";2412;7;4175;198;2
"later";"FunctionWords";2688;3;119649;336;2
"later";"LogicalConnectors";2688;5;24677;336;2
"of";"FunctionWords";2843;3;119649;16533;2
"of";"EconomicOperands";2843;2;73007;16533;2
"out";"EconomicOperands";2889;2;73007;182;2
"out";"FunctionWords";2889;3;119649;182;2
"than";"LogicalConnectors";3290;5;24677;789;2
"than";"FunctionWords";3290;3;119649;789;2
"to";"LogicalConnectors";3317;5;24677;9244;2
"to";"FunctionWords";3317;3;119649;9244;2
"with";"LogicalConnectors";3409;5;24677;1933;2
"with";"FunctionWords";3409;3;119649;1933;2
"years";"Attributes";3421;1;2335;119;2
"years";"EconomicOperands";3421;2;73007;119;2
"$10000000000";"Attributes";1;1;2335;18;1
"$50000000000";"Attributes";2;1;2335;19;1
"(";"Attributes";3;1;2335;3;1
"(1)";"LegalReferences";4;4;11153;428;1
"(1)(A)";"LegalReferences";5;4;11153;24;1
"(1)(B)";"LegalReferences";6;4;11153;16;1
"(1)(B))";"LegalReferences";7;4;11153;1;1
"(1)(F)";"LegalReferences";8;4;11153;4;1
"(1))";"LegalReferences";9;4;11153;22;1
"(10)";"LegalReferences";10;4;11153;10;1
"(10)(A)";"LegalReferences";11;4;11153;1;1
"(10)(B))";"LegalReferences";12;4;11153;1;1
"(11)";"LegalReferences";13;4;11153;9;1
"(12)";"LegalReferences";14;4;11153;10;1
"(12)(A)";"LegalReferences";15;4;11153;2;1
"(12)(B)";"LegalReferences";16;4;11153;1;1
"(13)";"LegalReferences";17;4;11153;8;1
"(13)(A)";"LegalReferences";18;4;11153;1;1
"(13)(B)";"LegalReferences";19;4;11153;1;1
"(14)";"LegalReferences";20;4;11153;4;1
"(15)";"LegalReferences";21;4;11153;2;1
"(15)(A)";"LegalReferences";22;4;11153;1;1
"(16)";"LegalReferences";23;4;11153;1;1
"(17)";"LegalReferences";24;4;11153;2;1
"(17)(A)";"LegalReferences";25;4;11153;2;1
"(18)";"LegalReferences";26;4;11153;2;1
"(18)(A)";"LegalReferences";27;4;11153;1;1
"(18)(B)";"LegalReferences";28;4;11153;1;1
"(2)";"LegalReferences";29;4;11153;268;1
"(2)(A)";"LegalReferences";30;4;11153;13;1
"(2)(B)";"LegalReferences";31;4;11153;18;1
"(2))";"LegalReferences";32;4;11153;1;1
"(22)";"LegalReferences";33;4;11153;1;1
"(23)";"LegalReferences";34;4;11153;2;1
"(28)";"LegalReferences";35;4;11153;1;1
"(29)";"LegalReferences";36;4;11153;1;1
"(3)";"LegalReferences";37;4;11153;139;1
"(3)(A)";"LegalReferences";38;4;11153;6;1
"(3)(B)";"LegalReferences";39;4;11153;6;1
"(30)";"LegalReferences";40;4;11153;1;1
"(31)";"LegalReferences";41;4;11153;2;1
"(32)";"LegalReferences";42;4;11153;4;1
"(38)";"LegalReferences";43;4;11153;1;1
"(39)";"LegalReferences";44;4;11153;1;1
"(4)(A)";"LegalReferences";46;4;11153;3;1
"(4)(B)";"LegalReferences";47;4;11153;6;1
"(40)";"LegalReferences";48;4;11153;1;1
"(41)";"LegalReferences";49;4;11153;2;1
"(46)";"LegalReferences";50;4;11153;2;1
"(5)";"LegalReferences";51;4;11153;41;1
"(5)(A)";"LegalReferences";52;4;11153;2;1
"(5)(B)";"LegalReferences";53;4;11153;1;1
"(51)";"LegalReferences";54;4;11153;1;1
"(53)(A)";"LegalReferences";55;4;11153;1;1
"(6)";"LegalReferences";56;4;11153;35;1
"(6)(B)";"LegalReferences";57;4;11153;2;1
"(68)";"LegalReferences";58;4;11153;2;1
"(7)";"LegalReferences";59;4;11153;21;1
"(7))";"LegalReferences";60;4;11153;1;1
"(8)";"LegalReferences";61;4;11153;15;1
"(8)(A)";"LegalReferences";62;4;11153;1;1
"(9)";"LegalReferences";63;4;11153;11;1
"(9)(A)";"LegalReferences";64;4;11153;1;1
"(A)";"LegalReferences";65;4;11153;374;1
"(A)(ii)";"LegalReferences";66;4;11153;1;1
"(A))";"LegalReferences";67;4;11153;2;1
"(ARM)";"EconomicOperands";68;2;73007;1;1
"(B)";"LegalReferences";69;4;11153;192;1
"(B))";"LegalReferences";70;4;11153;3;1
"(C)";"LegalReferences";71;4;11153;80;1
"(C))";"LegalReferences";72;4;11153;1;1
"(CRM)";"EconomicOperands";73;2;73007;1;1
"(D)";"LegalReferences";74;4;11153;54;1
"(E)";"LegalReferences";75;4;11153;22;1
"(F)";"LegalReferences";76;4;11153;11;1
"(G))";"LegalReferences";78;4;11153;1;1
"(H)";"LegalReferences";79;4;11153;8;1
"(H))";"LegalReferences";80;4;11153;1;1
"(II)";"LegalReferences";82;4;11153;18;1
"(II)))";"LegalReferences";83;4;11153;1;1
"(III)";"LegalReferences";84;4;11153;7;1
"(IV)";"LegalReferences";85;4;11153;8;1
"(J)";"LegalReferences";86;4;11153;3;1
"(K)";"LegalReferences";87;4;11153;3;1
"(L)";"LegalReferences";88;4;11153;1;1
"(Public";"EconomicOperands";89;2;73007;18;1
