Provisions;EconomicOperands;1
Restrictions;RegulatoryOperators;2
on;FunctionWords;43
use;EconomicOperands;4
of;FunctionWords;274
States;EconomicOperands;13
funds;EconomicOperands;2
for;FunctionWords;21
governments;EconomicOperands;4
seq);LegalReferences;2
is;FunctionWords;41
amended;Other;5
by;FunctionWords;41
adding;Other;3
at;FunctionWords;5
the;FunctionWords;412
end;Other;4
following;FunctionWords;8
class;EconomicOperands;3
general;FunctionWords;10
The;FunctionWords;22
Secretary;EconomicOperands;11
shall;FunctionWords;41
Director;EconomicOperands;2
Fund;EconomicOperands;6
to;FunctionWords;110
evaluate;RegulatoryOperators;2
prior;EconomicOperands;1
Board;EconomicOperands;3
Directors;EconomicOperands;2
any;FunctionWords;18
make;FunctionWords;7
a;FunctionWords;62
loan;EconomicOperands;2
country;EconomicOperands;18
if;LogicalConnectors;6
amount;EconomicOperands;3
public;EconomicOperands;6
debt;EconomicOperands;3
exceeds;EconomicOperands;1
domestic;EconomicOperands;1
product;EconomicOperands;5
most;FunctionWords;1
year;EconomicOperands;9
which;FunctionWords;19
such;FunctionWords;56
information;EconomicOperands;17
available;EconomicOperands;7
and;LogicalConnectors;118
not;FunctionWords;11
from;FunctionWords;13
International;EconomicOperands;3
Development;EconomicOperands;2
Association;EconomicOperands;1
loans;EconomicOperands;2
be;FunctionWords;21
in;FunctionWords;74
If;LogicalConnectors;2
that;FunctionWords;41
Reports;EconomicOperands;3
congress;EconomicOperands;1
Within;FunctionWords;1
days;Attributes;2
after;LogicalConnectors;18
approves;RegulatoryOperators;1
described;Other;12
(a);LegalReferences;3
under;FunctionWords;40
report;EconomicOperands;26
writing;EconomicOperands;1
Services;EconomicOperands;4
Representatives;EconomicOperands;4
Committee;EconomicOperands;7
Foreign;EconomicOperands;3
Affairs;EconomicOperands;4
Senate;EconomicOperands;4
made;FunctionWords;9
will;FunctionWords;1
including;EconomicOperands;8
borrowing;EconomicOperands;3
countrys;EconomicOperands;3
extent;EconomicOperands;5
its;EconomicOperands;3
whether;FunctionWords;5
it;EconomicOperands;3
has;FunctionWords;5
or;LogicalConnectors;68
rates;EconomicOperands;1
whom;FunctionWords;1
held;EconomicOperands;1
could;FunctionWords;6
ability;EconomicOperands;1
strategy;EconomicOperands;3
minerals;EconomicOperands;29
Congress;EconomicOperands;3
It;EconomicOperands;1
finance;EconomicOperands;4
conflict;EconomicOperands;7
particularly;LogicalConnectors;1
an;FunctionWords;33
emergency;EconomicOperands;1
provisions;EconomicOperands;5
13(p);LegalReferences;7
1934;LegalReferences;7
as;FunctionWords;25
(b);LegalReferences;4
Disclosure;EconomicOperands;4
13;LegalReferences;1
78m);LegalReferences;2
Act;LegalReferences;25
new;EconomicOperands;1
subsection;LegalReferences;6
Disclosures;EconomicOperands;1
Regulations;EconomicOperands;1
later;LogicalConnectors;11
than;FunctionWords;15
date;EconomicOperands;23
enactment;Other;14
Commission;EconomicOperands;28
promulgate;EconomicOperands;1
regulations;EconomicOperands;7
person;EconomicOperands;16
(2);LegalReferences;2
with;FunctionWords;20
persons;EconomicOperands;3
first;LogicalConnectors;1
begins;EconomicOperands;1
are;FunctionWords;11
necessary;Attributes;6
(2)(B);LegalReferences;1
reporting;EconomicOperands;1
required;RegulatoryOperators;14
cases;LogicalConnectors;1
submit;EconomicOperands;7
includes;EconomicOperands;8
period;EconomicOperands;3
measures;EconomicOperands;3
exercise;EconomicOperands;2
source;EconomicOperands;2
include;EconomicOperands;5
independent;EconomicOperands;4
private;EconomicOperands;5
through;FunctionWords;1
conducted;EconomicOperands;2
standards;EconomicOperands;6
rules;EconomicOperands;13
consultation;EconomicOperands;2
State;EconomicOperands;6
products;EconomicOperands;5
DRC;EconomicOperands;4
(;Attributes;1
defined;EconomicOperands;3
mean;Other;1
directly;Attributes;4
indirectly;Attributes;3
benefit;EconomicOperands;2
groups;EconomicOperands;14
country);EconomicOperands;1
entity;EconomicOperands;3
(i);LegalReferences;2
process;EconomicOperands;1
origin;EconomicOperands;3
determine;RegulatoryOperators;2
mine;EconomicOperands;16
(A);LegalReferences;12
subparagraph;Other;3
Such;FunctionWords;1
other;FunctionWords;10
previously;LogicalConnectors;1
determined;RegulatoryOperators;4
requirements;EconomicOperands;7
For;FunctionWords;4
purposes;EconomicOperands;5
