key	category	total_count
"S"	"Attributes"	1923
"1"	"Attributes"	1308
"2"	"Attributes"	1117
"3"	"Attributes"	670
"APPROPRIATE"	"Attributes"	569
"4"	"Attributes"	425
"5"	"Attributes"	320
"NECESSARY"	"Attributes"	308
"7"	"Attributes"	274
"6"	"Attributes"	243
"9"	"Attributes"	211
"8"	"Attributes"	160
"REASONABLE"	"Attributes"	139
"ANNUAL"	"Attributes"	126
"DIRECTLY"	"Attributes"	125
"CONSISTENT"	"Attributes"	125
"TOTAL"	"Attributes"	101
"FIRST"	"Attributes"	91
"MINIMUM"	"Attributes"	87
"SIGNIFICANT"	"Attributes"	80
"15"	"Attributes"	75
"12"	"Attributes"	74
"INDIRECTLY"	"Attributes"	65
"RELEVANT"	"Attributes"	63
"TIMELY"	"Attributes"	56
"REASONABLY"	"Attributes"	55
"30 DAYS"	"Attributes"	54
"DIRECT"	"Attributes"	51
"UNLAWFUL"	"Attributes"	50
"10"	"Attributes"	50
"90 DAYS"	"Attributes"	48
"THIRD"	"Attributes"	43
"MAXIMUM"	"Attributes"	42
"ADEQUATE"	"Attributes"	41
"180 DAYS"	"Attributes"	39
"ANNUALLY"	"Attributes"	38
"IMMEDIATELY"	"Attributes"	37
"SUBSTANTIAL"	"Attributes"	37
"ENFORCEABLE"	"Attributes"	36
"60 DAYS"	"Attributes"	36
"POSSIBLE"	"Attributes"	36
"SUFFICIENT"	"Attributes"	33
"5 YEARS"	"Attributes"	33
"25"	"Attributes"	29
"LIKELY"	"Attributes"	28
"2 YEARS"	"Attributes"	28
"DUE"	"Attributes"	28
"6 MONTHS"	"Attributes"	27
"SAFE"	"Attributes"	26
"PERIODIC"	"Attributes"	25
"EQUITABLE"	"Attributes"	25
"1-YEAR"	"Attributes"	24
"12 MONTHS"	"Attributes"	24
"MONTHLY"	"Attributes"	24
"PROMPTLY"	"Attributes"	24
"EQUIVALENT"	"Attributes"	23
"18 MONTHS"	"Attributes"	23
"PERCENT"	"Attributes"	23
"2/3"	"Attributes"	23
"20"	"Attributes"	22
"90-DAY"	"Attributes"	21
"50000000000"	"Attributes"	19
"35"	"Attributes"	18
"2-YEAR"	"Attributes"	18
"100"	"Attributes"	18
"10000000000"	"Attributes"	18
"PERIODICALLY"	"Attributes"	17
"PERMISSIBLE"	"Attributes"	16
"10 PERCENT"	"Attributes"	16
"TO THE FULLEST EXTENT POSSIBLE"	"Attributes"	16
"2012"	"Attributes"	16
"PRIMARILY"	"Attributes"	15
"ACCEPTABLE"	"Attributes"	15
"30-DAY"	"Attributes"	14
"23"	"Attributes"	14
"DAILY"	"Attributes"	14
"30"	"Attributes"	14
"6-MONTH"	"Attributes"	13
"SERIOUS"	"Attributes"	13
"2011"	"Attributes"	12
"60-DAY"	"Attributes"	12
"SEMIANNUAL"	"Attributes"	12
"SIGNIFICANTLY"	"Attributes"	12
"INSUFFICIENT"	"Attributes"	11
"STRINGENT"	"Attributes"	11
"APPROPRIATELY"	"Attributes"	11
"UNACCEPTABLE"	"Attributes"	11
"SUFFICIENTLY"	"Attributes"	11
"EARLIER"	"Attributes"	11
"PROMPT"	"Attributes"	11
"ALREADY"	"Attributes"	10
"1000000"	"Attributes"	10
"WELL"	"Attributes"	10
"BETTER"	"Attributes"	10
"DAYS"	"Attributes"	10
"MAY 19 2010"	"Attributes"	10
"REGULARLY"	"Attributes"	10
"QUARTER"	"Attributes"	9
"TO THE MAXIMUM EXTENT"	"Attributes"	9
"250000"	"Attributes"	9
"ROBUST"	"Attributes"	9
"ADEQUATELY"	"Attributes"	9
"DULY"	"Attributes"	9
"270 DAYS"	"Attributes"	9
"180-DAY"	"Attributes"	9
"DECEMBER 31"	"Attributes"	9
"SMALLER"	"Attributes"	8
"10 DAYS"	"Attributes"	8
"2010"	"Attributes"	8
"3-YEAR"	"Attributes"	8
"10 YEARS"	"Attributes"	8
"NO LONGER"	"Attributes"	8
"5000"	"Attributes"	8
"TWICE"	"Attributes"	8
