category	category_count	category_unique_count	title
"Attributes"	692	95	1
"EconomicOperands"	7109	1323	1
"FunctionWords"	7237	140	1
"LegalReferences"	927	199	1
"LogicalConnectors"	1568	79	1
"Other"	319	46	1
"RegulatoryOperators"	644	61	1
"Attributes"	733	96	2
"EconomicOperands"	10711	1468	2
"FunctionWords"	12717	156	2
"LegalReferences"	2467	297	2
"LogicalConnectors"	2652	94	2
"Other"	423	47	2
"RegulatoryOperators"	795	70	2
"Attributes"	598	69	3
"EconomicOperands"	4412	836	3
"FunctionWords"	5877	118	3
"LegalReferences"	1655	468	3
"LogicalConnectors"	1472	53	3
"Other"	1047	57	3
"RegulatoryOperators"	321	37	3
"Attributes"	171	41	4
"EconomicOperands"	1219	410	4
"FunctionWords"	1498	100	4
"LegalReferences"	271	111	4
"LogicalConnectors"	294	41	4
"Other"	97	27	4
"RegulatoryOperators"	109	24	4
"Attributes"	228	69	5
"EconomicOperands"	2352	724	5
"FunctionWords"	2226	102	5
"LegalReferences"	331	122	5
"LogicalConnectors"	552	48	5
"Other"	154	41	5
"RegulatoryOperators"	157	33	5
"subprime crisis"	1	1	5
"Attributes"	517	76	6
"EconomicOperands"	4804	989	6
"FunctionWords"	5960	117	6
"LegalReferences"	1083	319	6
"LogicalConnectors"	1359	61	6
"Other"	466	53	6
"RegulatoryOperators"	452	57	6
"Attributes"	2157	125	7
"EconomicOperands"	20383	2023	7
"FunctionWords"	21412	171	7
"LegalReferences"	4249	593	7
"LogicalConnectors"	5373	104	7
"Other"	1415	70	7
"RegulatoryOperators"	1995	74	7
"Attributes"	256	48	8
"EconomicOperands"	2494	597	8
"FunctionWords"	2454	97	8
"LegalReferences"	390	147	8
"LogicalConnectors"	629	49	8
"Other"	75	26	8
"RegulatoryOperators"	254	41	8
"Attributes"	2027	197	9
"EconomicOperands"	17333	2331	9
"FunctionWords"	18476	185	9
"LegalReferences"	3166	690	9
"LogicalConnectors"	3930	120	9
"Other"	1446	64	9
"RegulatoryOperators"	1484	97	9
"Attributes"	2023	148	10
"EconomicOperands"	20738	2550	10
"FunctionWords"	22281	181	10
"LegalReferences"	3744	721	10
"LogicalConnectors"	5219	123	10
"Other"	1648	83	10
"RegulatoryOperators"	1809	98	10
"Attributes"	202	54	11
"EconomicOperands"	2136	628	11
"FunctionWords"	2497	96	11
"LegalReferences"	389	128	11
"LogicalConnectors"	500	51	11
"Other"	152	35	11
"RegulatoryOperators"	210	31	11
"Attributes"	79	21	12
"EconomicOperands"	524	228	12
"FunctionWords"	479	61	12
"LegalReferences"	68	25	12
"LogicalConnectors"	100	14	12
"Other"	26	10	12
"RegulatoryOperators"	48	14	12
"Attributes"	45	16	13
"EconomicOperands"	363	137	13
"FunctionWords"	435	43	13
"LegalReferences"	73	39	13
"LogicalConnectors"	73	14	13
"Other"	28	11	13
"RegulatoryOperators"	31	7	13
"Attributes"	1273	172	14
"EconomicOperands"	10898	1906	14
"FunctionWords"	10775	168	14
"LegalReferences"	1766	401	14
"LogicalConnectors"	2214	101	14
"Other"	726	71	14
"RegulatoryOperators"	806	76	14
"Attributes"	176	36	15
"EconomicOperands"	1415	518	15
"FunctionWords"	1523	81	15
"LegalReferences"	229	69	15
"LogicalConnectors"	271	29	15
"Other"	89	26	15
"RegulatoryOperators"	99	26	15
"Attributes"	8	4	16
"EconomicOperands"	37	27	16
"FunctionWords"	43	17	16
"LegalReferences"	10	9	16
"LogicalConnectors"	15	9	16
"Other"	12	10	16
"RegulatoryOperators"	3	2	16
