file_name;Attributes;UniqueAttributes;EconomicOperands;UniqueEconomicOperands;FunctionWords;UniqueFunctionWorsd;LegalReferences;UniqueLegalReferences;LogicalConnectors;UniqueLogicalConnectors;Other;UniqueOther;RegulatoryOperators;UniqueRegulatoryOperators
title_8.html;64;18;2151;519;2484;123;216;111;601;44;61;17;120;28
title_0.html;0;0;398;201;495;46;95;54;81;13;69;17;15;5
title_12.html;13;6;350;162;486;72;43;27;93;8;25;11;29;13
title_5.html;36;18;1936;599;2332;127;138;86;516;46;126;28;71;26
title_13.html;3;3;272;83;466;51;45;32;69;12;34;10;3;3
title_9.html;354;61;13665;1872;18796;316;1765;633;3787;119;1426;79;605;89
title_16.html;0;0;26;13;39;17;6;6;17;10;0;0;0;0
title_15.html;42;13;1034;367;1618;101;118;64;261;26;84;20;42;19
title_14.html;265;50;7828;1272;11346;254;1031;369;2228;103;654;58;308;60
title_4.html;40;17;1071;354;1524;116;150;76;279;38;106;26;44;18
title_1.html;202;52;6179;1168;7495;189;514;195;1478;79;263;31;314;63
title_7.html;467;45;16718;1717;21597;290;2106;611;5139;109;1325;57;957;82
title_11.html;25;14;1610;469;2619;140;252;131;475;48;133;27;67;27
title_3.html;151;30;4407;832;6059;201;898;437;1405;62;973;49;108;40
title_10.html;401;55;16170;2021;23011;306;2251;716;5001;111;1393;68;839;80
title_6.html;241;59;4851;1141;6019;177;652;324;1316;71;463;50;265;68
title_2.html;187;42;7850;1171;12582;219;742;291;2478;88;327;39;312;61
