id_question,id_regulation,user,answer,correctanswer,score,id_student,time,sex,ed_level,ed_yr_obtained,ed_area,ed_institution,ex_area,ex_yr,total_score,is_correct
2,25,"2248397",44,37,0,"2248397",00:01:53,"Male","Master’s Level","2021","Business","HEC Paris","Business","0",7,0
3,29,"2248397",43,57,0,"2248397",00:02:35,"Male","Master’s Level","2021","Business","HEC Paris","Business","0",7,0
4,21,"2248397",69,69,1,"2248397",00:01:10,"Male","Master’s Level","2021","Business","HEC Paris","Business","0",7,1
5,4,"2248397",55,55,2,"2248397",00:00:37,"Male","Master’s Level","2021","Business","HEC Paris","Business","0",7,1
6,34,"2248397",1,1,3,"2248397",00:02:59,"Male","Master’s Level","2021","Business","HEC Paris","Business","0",7,1
7,19,"2248397",55,55,4,"2248397",00:03:6,"Male","Master’s Level","2021","Business","HEC Paris","Business","0",7,1
8,2,"2248397",25,25,5,"2248397",00:01:41,"Male","Master’s Level","2021","Business","HEC Paris","Business","0",7,1
9,6,"2248397",34,34,6,"2248397",00:01:46,"Male","Master’s Level","2021","Business","HEC Paris","Business","0",7,1
10,18,"2248397",64,64,7,"2248397",00:02:9,"Male","Master’s Level","2021","Business","HEC Paris","Business","0",7,1
2,27,"60649",4,4,1,"60649",00:02:12,"Male","Master’s Level","2021","Business","HEC Paris","Business","3",4,1
3,35,"60649",35,37,1,"60649",00:06:27,"Male","Master’s Level","2021","Business","HEC Paris","Business","3",4,0
4,31,"60649",30,32,1,"60649",00:06:28,"Male","Master’s Level","2021","Business","HEC Paris","Business","3",4,0
5,22,"60649",22,22,2,"60649",00:06:21,"Male","Master’s Level","2021","Business","HEC Paris","Business","3",4,1
6,29,"60649",47,57,2,"60649",00:03:8,"Male","Master’s Level","2021","Business","HEC Paris","Business","3",4,0
7,6,"60649",31,34,2,"60649",00:05:48,"Male","Master’s Level","2021","Business","HEC Paris","Business","3",4,0
8,21,"60649",69,69,3,"60649",00:00:59,"Male","Master’s Level","2021","Business","HEC Paris","Business","3",4,1
9,8,"60649",13,13,4,"60649",00:05:12,"Male","Master’s Level","2021","Business","HEC Paris","Business","3",4,1
10,28,"60649",34,38,4,"60649",00:01:31,"Male","Master’s Level","2021","Business","HEC Paris","Business","3",4,0
2,1,"60673",38,38,1,"60673",00:01:12,"Female","Master’s Level","","Business","","Business","",8,1
3,37,"60673",28,8,1,"60673",00:02:1,"Female","Master’s Level","","Business","","Business","",8,0
4,23,"60673",47,47,2,"60673",00:02:3,"Female","Master’s Level","","Business","","Business","",8,1
5,12,"60673",13,13,3,"60673",00:01:29,"Female","Master’s Level","","Business","","Business","",8,1
6,11,"60673",12,12,4,"60673",00:01:22,"Female","Master’s Level","","Business","","Business","",8,1
7,17,"60673",60,60,5,"60673",00:01:4,"Female","Master’s Level","","Business","","Business","",8,1
8,34,"60673",1,1,6,"60673",00:01:26,"Female","Master’s Level","","Business","","Business","",8,1
9,28,"60673",38,38,7,"60673",00:01:26,"Female","Master’s Level","","Business","","Business","",8,1
10,20,"60673",37,37,8,"60673",00:00:58,"Female","Master’s Level","","Business","","Business","",8,1
2,24,"61237",47,46,0,"61237",00:02:28,"Male","Master’s Level","2021","Business","HEC PARIS","Business","1",5,0
3,8,"61237",9,13,0,"61237",00:01:59,"Male","Master’s Level","2021","Business","HEC PARIS","Business","1",5,0
4,1,"61237",38,38,1,"61237",00:02:13,"Male","Master’s Level","2021","Business","HEC PARIS","Business","1",5,1
5,6,"61237",25,34,1,"61237",00:01:58,"Male","Master’s Level","2021","Business","HEC PARIS","Business","1",5,0
6,23,"61237",47,47,2,"61237",00:01:18,"Male","Master’s Level","2021","Business","HEC PARIS","Business","1",5,1
7,17,"61237",60,60,3,"61237",00:00:35,"Male","Master’s Level","2021","Business","HEC PARIS","Business","1",5,1
8,30,"61237",61,61,4,"61237",00:00:38,"Male","Master’s Level","2021","Business","HEC PARIS","Business","1",5,1
9,38,"61237",61,61,5,"61237",00:00:35,"Male","Master’s Level","2021","Business","HEC PARIS","Business","1",5,1
10,35,"61237",62,37,5,"61237",00:00:50,"Male","Master’s Level","2021","Business","HEC PARIS","Business","1",5,0
2,34,"62600",1,1,1,"62600",00:02:44,"Male","Master’s Level","2022","Business","HEC Paris","Business","1",9,1
3,10,"62600",12,12,2,"62600",00:00:36,"Male","Master’s Level","2022","Business","HEC Paris","Business","1",9,1
4,29,"62600",57,57,3,"62600",00:03:32,"Male","Master’s Level","2022","Business","HEC Paris","Business","1",9,1
5,3,"62600",18,18,4,"62600",00:09:59,"Male","Master’s Level","2022","Business","HEC Paris","Business","1",9,1
6,36,"62600",30,30,5,"62600",00:00:18,"Male","Master’s Level","2022","Business","HEC Paris","Business","1",9,1
7,30,"62600",61,61,6,"62600",00:01:27,"Male","Master’s Level","2022","Business","HEC Paris","Business","1",9,1
8,25,"62600",37,37,7,"62600",00:03:35,"Male","Master’s Level","2022","Business","HEC Paris","Business","1",9,1
9,22,"62600",22,22,8,"62600",00:02:8,"Male","Master’s Level","2022","Business","HEC Paris","Business","1",9,1
10,11,"62600",12,12,9,"62600",00:01:14,"Male","Master’s Level","2022","Business","HEC Paris","Business","1",9,1
2,7,"62677",26,26,1,"62677",00:15:58,"Male","Bachelor’s Level","2020","Business","LUISS","Business","1",8,1
3,34,"62677",1,1,2,"62677",00:03:48,"Male","Bachelor’s Level","2020","Business","LUISS","Business","1",8,1
4,26,"62677",67,67,3,"62677",00:03:30,"Male","Bachelor’s Level","2020","Business","LUISS","Business","1",8,1
5,25,"62677",48,37,3,"62677",00:10:53,"Male","Bachelor’s Level","2020","Business","LUISS","Business","1",8,0
6,18,"62677",64,64,4,"62677",00:03:28,"Male","Bachelor’s Level","2020","Business","LUISS","Business","1",8,1
7,37,"62677",8,8,5,"62677",00:03:16,"Male","Bachelor’s Level","2020","Business","LUISS","Business","1",8,1
8,5,"62677",36,36,6,"62677",00:06:7,"Male","Bachelor’s Level","2020","Business","LUISS","Business","1",8,1
9,3,"62677",18,18,7,"62677",00:03:46,"Male","Bachelor’s Level","2020","Business","LUISS","Business","1",8,1
10,19,"62677",55,55,8,"62677",00:03:34,"Male","Bachelor’s Level","2020","Business","LUISS","Business","1",8,1
2,28,"63437",34,38,0,"63437",00:03:53,"Female","Bachelor’s Level","2018","Business","Peking University","Business","1",4,0
3,37,"63437",8,8,1,"63437",00:04:50,"Female","Bachelor’s Level","2018","Business","Peking University","Business","1",4,1
4,1,"63437",34,38,1,"63437",00:02:17,"Female","Bachelor’s Level","2018","Business","Peking University","Business","1",4,0
5,19,"63437",55,55,2,"63437",00:02:59,"Female","Bachelor’s Level","2018","Business","Peking University","Business","1",4,1
6,36,"63437",30,30,3,"63437",00:00:45,"Female","Bachelor’s Level","2018","Business","Peking University","Business","1",4,1
7,2,"63437",22,25,3,"63437",00:03:54,"Female","Bachelor’s Level","2018","Business","Peking University","Business","1",4,0
8,24,"63437",41,46,3,"63437",00:03:37,"Female","Bachelor’s Level","2018","Business","Peking University","Business","1",4,0
9,25,"63437",37,37,4,"63437",00:02:17,"Female","Bachelor’s Level","2018","Business","Peking University","Business","1",4,1
10,4,"63437",55,55,4,"63437",00:00:31,"Female","Bachelor’s Level","2018","Business","Peking University","Business","1",4,1
2,1,"63460",38,38,1,"63460",00:01:28,"Male","Bachelor’s Level","2018","Business","Erasmus University","Business","",6,1
3,35,"63460",37,37,2,"63460",00:06:22,"Male","Bachelor’s Level","2018","Business","Erasmus University","Business","",6,1
4,5,"63460",36,36,3,"63460",00:03:3,"Male","Bachelor’s Level","2018","Business","Erasmus University","Business","",6,1
5,19,"63460",55,55,3,"63460",00:02:32,"Male","Bachelor’s Level","2018","Business","Erasmus University","Business","",6,1
6,23,"63460",53,47,3,"63460",00:02:7,"Male","Bachelor’s Level","2018","Business","Erasmus University","Business","",6,0
7,20,"63460",37,37,4,"63460",00:01:44,"Male","Bachelor’s Level","2018","Business","Erasmus University","Business","",6,1
8,29,"63460",57,57,5,"63460",00:02:16,"Male","Bachelor’s Level","2018","Business","Erasmus University","Business","",6,1
9,4,"63460",55,55,5,"63460",00:01:4,"Male","Bachelor’s Level","2018","Business","Erasmus University","Business","",6,1
10,27,"63460",4,4,6,"63460",00:00:29,"Male","Bachelor’s Level","2018","Business","Erasmus University","Business","",6,1
2,11,"63471",13,12,0,"63471",00:04:53,"Male","Master’s Level","2021","Business","HEC Paris","Business","0",7,0
3,25,"63471",37,37,1,"63471",00:02:40,"Male","Master’s Level","2021","Business","HEC Paris","Business","0",7,1
4,8,"63471",13,13,2,"63471",00:02:15,"Male","Master’s Level","2021","Business","HEC Paris","Business","0",7,1
5,32,"63471",14,14,3,"63471",00:01:56,"Male","Master’s Level","2021","Business","HEC Paris","Business","0",7,1
6,2,"63471",25,25,4,"63471",00:02:15,"Male","Master’s Level","2021","Business","HEC Paris","Business","0",7,1
7,21,"63471",69,69,5,"63471",00:01:2,"Male","Master’s Level","2021","Business","HEC Paris","Business","0",7,1
8,27,"63471",4,4,6,"63471",00:00:58,"Male","Master’s Level","2021","Business","HEC Paris","Business","0",7,1
9,23,"63471",41,47,6,"63471",00:03:8,"Male","Master’s Level","2021","Business","HEC Paris","Business","0",7,0
10,6,"63471",34,34,7,"63471",00:07:0,"Male","Master’s Level","2021","Business","HEC Paris","Business","0",7,1
2,4,"63481",55,55,1,"63481",00:01:50,"Male","Master’s Level","2021","Business","HEC Paris","Business","1",4,1
3,9,"63481",35,35,2,"63481",00:02:56,"Male","Master’s Level","2021","Business","HEC Paris","Business","1",4,1
4,2,"63481",22,25,2,"63481",00:02:27,"Male","Master’s Level","2021","Business","HEC Paris","Business","1",4,0
5,19,"63481",55,55,3,"63481",00:03:43,"Male","Master’s Level","2021","Business","HEC Paris","Business","1",4,1
6,38,"63481",61,61,4,"63481",00:00:41,"Male","Master’s Level","2021","Business","HEC Paris","Business","1",4,1
7,16,"63481",19,10,4,"63481",00:03:39,"Male","Master’s Level","2021","Business","HEC Paris","Business","1",4,0
8,20,"63481",32,37,4,"63481",00:02:31,"Male","Master’s Level","2021","Business","HEC Paris","Business","1",4,0
9,23,"63481",73,47,4,"63481",00:04:46,"Male","Master’s Level","2021","Business","HEC Paris","Business","1",4,0
10,35,"63481",67,37,4,"63481",00:01:49,"Male","Master’s Level","2021","Business","HEC Paris","Business","1",4,0
2,1,"63495",38,38,1,"63495",00:00:42,"Female","Master’s Level","2021","Business","HEC Paris","Business","1",6,1
3,34,"63495",1,1,2,"63495",00:04:32,"Female","Master’s Level","2021","Business","HEC Paris","Business","1",6,1
4,33,"63495",37,30,2,"63495",00:01:34,"Female","Master’s Level","2021","Business","HEC Paris","Business","1",6,0
5,13,"63495",32,22,2,"63495",00:01:39,"Female","Master’s Level","2021","Business","HEC Paris","Business","1",6,0
6,17,"63495",63,60,2,"63495",00:01:23,"Female","Master’s Level","2021","Business","HEC Paris","Business","1",6,0
7,28,"63495",38,38,3,"63495",00:01:36,"Female","Master’s Level","2021","Business","HEC Paris","Business","1",6,1
8,27,"63495",4,4,4,"63495",00:00:53,"Female","Master’s Level","2021","Business","HEC Paris","Business","1",6,1
9,2,"63495",25,25,5,"63495",00:01:28,"Female","Master’s Level","2021","Business","HEC Paris","Business","1",6,1
10,29,"63495",57,57,6,"63495",00:01:28,"Female","Master’s Level","2021","Business","HEC Paris","Business","1",6,1
2,32,"63517",61,14,0,"63517",00:01:12,"Male","Bachelor’s Level","2017","Technology","Technical University Munich","Business","2",3,0
3,36,"63517",30,30,1,"63517",00:00:18,"Male","Bachelor’s Level","2017","Technology","Technical University Munich","Business","2",3,1
4,26,"63517",67,67,2,"63517",00:00:29,"Male","Bachelor’s Level","2017","Technology","Technical University Munich","Business","2",3,1
5,34,"63517",21,1,2,"63517",00:00:23,"Male","Bachelor’s Level","2017","Technology","Technical University Munich","Business","2",3,0
