Name,Operands,Unique Operands,Operators,Unique Operators,Total Volume,Potential Volume,Level
10_node_list_wgt-11446938675121,67,33,47,6,114,35,0.307
10_node_list_wgt-11506049371702,38,18,28,6,66,20,0.303
10_node_list_wgt-14053216032245,38,18,28,6,66,20,0.303
10_node_list_wgt-18716169949551,54,26,42,6,96,28,0.292
10_node_list_wgt-19049225143889,46,23,35,6,81,25,0.309
10_node_list_wgt-10038616673167,44,25,33,6,77,27,0.351
10_node_list_wgt-10040708928827,41,24,29,6,70,26,0.371
10_node_list_wgt-1004149716850,31,18,22,6,53,20,0.377
10_node_list_wgt-10052557328512,41,25,28,5,69,27,0.391
10_node_list_wgt-10054446624107,40,24,27,5,67,26,0.388
10_node_list_wgt-10043612426734,33,22,22,5,55,24,0.436
10_node_list_wgt-10140208114834,41,28,27,6,68,30,0.441
10_node_list_wgt-10161285582939,34,22,24,6,58,24,0.414
10_node_list_wgt-10163467851924,42,28,30,5,72,30,0.417
10_node_list_wgt-10259704534315,36,24,26,6,62,26,0.419
10_node_list_wgt-12453801532713,9,8,4,3,13,10,0.769
10_node_list_wgt-13571420728266,14,10,8,4,22,12,0.545
10_node_list_wgt-15813850865182,19,14,12,6,31,16,0.516
10_node_list_wgt-1620278663712,22,17,14,6,36,19,0.528
10_node_list_wgt-17521951595774,14,10,8,4,22,12,0.545
10_node_list_wgt-19836146123187,37,16,28,6,65,18,0.277
10_node_list_wgt-25642313480110,44,22,34,6,78,24,0.308
10_node_list_wgt-27247107356107,59,29,45,6,104,31,0.298
10_node_list_wgt-28137160213779,47,23,34,6,81,25,0.309
10_node_list_wgt-31068621722674,38,16,26,6,64,18,0.281
10_node_list_wgt-1006766552016,43,24,32,6,75,26,0.347
10_node_list_wgt-10075469052254,40,24,28,6,68,26,0.382
10_node_list_wgt-10075708780063,42,24,31,6,73,26,0.356
10_node_list_wgt-10079245105729,31,19,22,6,53,21,0.396
10_node_list_wgt-1008387805542,41,23,30,6,71,25,0.352
10_node_list_wgt-10390467934644,36,25,25,5,61,27,0.443
10_node_list_wgt-10435934351284,28,18,20,5,48,20,0.417
10_node_list_wgt-1044054429420,45,31,34,6,79,33,0.418
10_node_list_wgt-10534428710198,35,23,24,6,59,25,0.424
10_node_list_wgt-10574910676526,40,27,30,6,70,29,0.414
10_node_list_wgt-18329725010376,14,10,8,4,22,12,0.545
10_node_list_wgt-1991798796009,18,14,10,5,28,16,0.571
10_node_list_wgt-22951674228863,14,10,8,4,22,12,0.545
10_node_list_wgt-27434846422540,14,10,8,4,22,12,0.545
10_node_list_wgt-30623616881414,14,10,8,4,22,12,0.545
